ID,Year,Author,Title,"QA1 (Are the objectives and the context of research clear, and well connected with DKT?) ","QA2 (Does the research adequately delineate the methodology (training dataset, the model architecture, and its hyper-parameters?)","QA3 (Does the research adequately delineate the experiments (e.g., investigating sequential or temporal consistency, interpretability, data inconsistency, or real-world applicability of the model?)","QA4 (is there congruence between methodology and methods used for data collection, analysis, and interpretation?)",QA5 (Are the study contributions and limitations clearly stated?),Sum of scores (max=5),"Notes
Low-Medium-High quality"
,,,DiKT: Dichotomous Knowledge Tracing,1,0.5,0.5,1,0.5,,3.5
,,,CAKT: Coupling contrastive learning with attention networks for interpretable knowledge tracing,1,0.5,0.5,1,0.5,,3.5
,,,Deep-IRT with a Temporal Convolutional Network for Reflecting Students' Long-Term History of Ability Data,1,0.5,0.5,1,0.5,,3.5
,,,DKVMN&MRI: A new deep knowledge tracing model based on DKVMN incorporating multi-relational information,1,0.5,0.5,1,0.5,,3.5
,,,A student modeling method combining Deep Learning and forgetting models with Knowledge Tracing,1,0.5,0.5,1,0.5,,3.5
,,,RIGL: A Unified Reciprocal Approach for Tracing the Independent and Group Learning Processes,1,0.5,0.5,1,0.5,,3.5
,,,Cognition-Mode Aware Variational Representation Learning Framework for Knowledge Tracing,1,0.5,0.5,1,0.5,,3.5
,,,A Question-centric Multi-experts Contrastive Learning Framework for Improving the Accuracy and Interpretability of Deep Sequential Knowledge Tracing Models,1,0.5,0.5,1,0.5,,3.5
,,,Input-Aware Neural Knowledge Tracing Machine,1,0.5,0.5,1,0.5,,3.5
,,,Dynamic Key-Value Gated Recurrent Network for Knowledge Tracing,1,0.5,0.5,1,0.5,,3.5
,,,Tracing Knowledge Instead of Patterns: Stable Knowledge Tracing with Diagnostic Transformer,1,0.5,0.5,1,0.5,,3.5
,,,An Efficient and Generic Method for Interpreting Deep Learning based Knowledge Tracing Models,1,0.5,0.5,0.5,0.5,,3
,,,Extending deep knowledge tracing: Inferring interpretable knowledge and predicting post-system performance,1,0,0,0.5,0.5,,2
,,,Concept-aware deep knowledge tracing and exercise recommendation in an online learning system,0.5,0.5,0,0.5,0,,1.5
,,,,,,,,,,0
