DOI,Year,Title,Abstract Note,Ekaterina's evaluation,Danial's evaluation
10.1007/s10489-022-03621-1,2023,What is wrong with deep knowledge tracing? Attention-based knowledge tracing,"Scientifically and effectively tracking student knowledge states is a significant and fundamental task in personalized education. Many neural network-based models, e.g., deep knowledge tracing (DKT), have achieved remarkable results on knowledge tracing. DKT does not require handcrafted knowledge and can capture more complex representations of student knowledge. However, a severe problem of DKT is that the output fluctuates wildly. In this paper, we utilize a finite state automaton (FSA), a mathematical computation model, to interpret the waviness of DKT because an FSA has observable state evolution in response to external input. With the support of an FSA, we discover that DKT cannot handle long sequential inputs, which leads to unstable predictions. Accordingly, we introduce two novel attention-based models that solve the above problems by directly capturing the relationships among each item of the input sequence. Extensive experimentation on five well-known datasets shows that our two proposed models achieve state-of-the-art performance compared to existing knowledge tracing approaches.",1,
10.1109/CSDE53843.2021.9718405,2021,Evaluating Deep Sequential Knowledge Tracing Models for Predicting Student Performance,"One of the key priorities in all instructional environments is to ensure that students recognise their learning mechanisms and pathways. Knowledge Tracing (KT), the task of modelling student knowledge from their learning history, is an important problem in the field of Artificial Intelligence in Education (AIEd) and has numerous applications in the development of interactive and adaptive learning technologies. KT can be utilised to understand each student's distinct learning style, particular needs, and ability levels. We trained and evaluated the performance of Knowledge Tracing models on the ASSISTments dataset and EdNet-KT1 dataset. This study revealed that deep learning models for knowledge tracing (Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Network (DKVMN), and Attentive Knowledge Tracing (AKT)) outperform the Markov process model (Bayesian Knowledge Tracing). We also observed that AKT and DKT go hand in hand with predicting whether or not the following question will be answered correctly or incorrectly by the student.",0,
10.1109/ICDMW58026.2022.00047,2022,Online Deep Knowledge Tracing,"This study focuses on solving the problem of knowledge tracing in a practical situation, where the responses from students come in a stream. Most current works of deep knowledge tracing are pursuing to integrate of more side information or data structure, but they often fail to make self-update in the dynamic learning situation. Towards this end, we here proposed an online deep knowledge tracing model, dubbed ODKT, by utilizing the online gradient descent algorithm to develop the traditional deep knowledge tracing (DKT) into online learning. Rather than learning a perfect model, the ODKT aims to train DKT in its using process step by step. Experiments were conducted on four public datasets for knowledge tracing. The results demonstrate that the ODKT model is effective and more suitable for practical applications.",1,
10.1007/978-3-031-11644-5_75,2022,Self-attention in Knowledge Tracing: Why It Works,"Knowledge tracing refers to the dynamic assessment of a learner's mastery of skills. There has been widespread adoption of the self-attention mechanism in knowledge-tracing models in recent years. These models consistently report performance gains over baseline knowledge tracing models in public datasets. However, why the self-attention mechanism works in knowledge tracing is unknown. This study argues that the ability to encode when a learner attempts to answer the same item multiple times in a row (henceforth referred to as repeated attempts) is a significant reason why self-attention models perform better than other deep knowledge tracing models. We present two experiments to support our argument. We use context-aware knowledge tracing (AKT) as our example self-attention model and dynamic key-value memory networks (DKVMN) and deep performance factors analysis (DPFA) as our baseline models. Firstly, we show that removing repeated attempts from datasets closes the performance gap between the AKT and the baseline models. Secondly, we present DPFA+, an extension of DPFA that is able to consume manually crafted repeated attempts features. We demonstrate that DPFA+ performs better than AKT across all datasets with manually crafted repeated attempts features.",1,
10.1016/j.neucom.2020.05.035,2020,Incorporating uncertainties in student response modeling by loss function regularization,"Most existing research works involving deep learning focus on performance improvement by developing new architectures or regularizers. However, in this paper we study the modeling of uncertainty in recurrent networks for the application of student response modeling, more specifically, knowledge tracing. Knowledge tracing is an application of time series machine learning. It consists of inferring the mastery level of a skill for a student as they navigate a question bank, thus adjusting curriculum for efficient learning. Deep Knowledge Tracing (DKT) takes the deep learning approach for knowledge tracing and has achieved better results than models like Bayesian Knowledge Tracing (BKT) and Performance Factor Analysis (PFA). However, the opaqueness of these deep knowledge tracing models also brings some criticisms. Providing an uncertainty score for each prediction helps mitigate this opaqueness. To investigate uncertainty modeling in DKT, we first examine a popular way of modeling data dependent uncertainties using Monte Carlo and show how it is insufficient to model variance in data. Second, we show how to incorporate sensible uncertainties by explicitly regularizing the cross entropy loss function. Third, we evaluate our method both in three different real datasets and in a more controlled way using synthetic data. Using synthetic data allows us to quantitatively understand the generated uncertainties. The results show that our method provides comparable results with standard deep knowledge tracing models as well as meaningful prediction uncertainties. (C) 2020 Elsevier B.V. All rights reserved.",1,
10.1007/978-3-319-93846-2_65,2018,Deep Knowledge Tracing for Free-Form Student Code Progression,"Knowledge Tracing, and its recent deep learning variants, have made substantial progress in modeling student knowledge acquisition through interactions with coursework. In this paper, we present a modification to Deep Knowledge Tracing to model student progress on coding assignments in large-scale computer science courses. The model takes advantage of the computer science education context by encoding students' iterative attempts on the same problem and allowing free-form code input. We implement a workflow for collecting data from Jupyter Notebooks and suggest future research possibilities for real-time intervention.",1,
10.1109/ICEIT54416.2022.9690737,2022,Heterogeneous Graph Based Knowledge Tracing,"Recent advances in on-line tutoring systems have brought on an increase in the research of Knowledge Tracing, which predicts the student's performance on coursework exercises over time. Previous researches, such as Bayesian Knowledge Tracing, Deep Knowledge Tracing (DKT) and qDKT, focused on either skill-level or question-level. As a result, those methods fail to take question-skill correlations into account. Inspired by Heterogeneous Graph Embedding (HGE), We propose a HGE-based knowledge tracing model. In this paper, a heterogeneous graph is built on skill information and question information, so as to capture the latent interactions between skill nodes and question nodes. In the proposed method, the knowledge tracing model can leverage more informations than previous methods. The experimental results show that the proposed method outperforms other state-of-the-art methods centered on either skills or questions.",1,
10.1109/ACCESS.2024.3388718,2024,DKVMN-KAPS: Dynamic Key-Value Memory Networks Knowledge Tracing With Students' Knowledge-Absorption Ability and Problem-Solving Ability,"Knowledge tracing aims to predict students' future question-answering performance based on their historical question-answering records, but the current mainstream knowledge tracing model ignores the individual differences in different students' knowledge-absorption and problem-solving abilities, which leads to a poor prediction of students' question-answering performance by the model. To solve this, Dynamic Key-Value Memory Networks Knowledge Tracing with Students' Knowledge-Absorption Ability and Problem-Solving Ability (DKVMN-KAPS) is proposed in this paper. Firstly, a hierarchical convolutional neural network is used to consider students' knowledge mastery at multiple time steps, and then quantify students' knowledge-absorption ability, aiming to more accurately portray students' knowledge states; secondly, an autoencoder is used to dynamically update students' problem-solving ability at each time step; and finally, students' question answering performance is predicted by considering the students' knowledge state, problem-solving ability, and question features. Extensive experiments on three datasets show that the prediction performance of DKVMN-KAPS outperforms existing models and improves the prediction accuracy of deep knowledge tracing models.",1,
10.1007/978-3-319-46681-1_14,2016,Topological Order Discovery via Deep Knowledge Tracing,"The goal of discovering topological order of skills is to generate a sequence of skills satisfying all prerequisite requirements. Very few previous studies have examined this task from knowledge tracing perspective. In this paper, we introduce a new task of discovering topological order of skills using students' exercise performance and explore the utility of Deep Knowledge Tracing (DKT) to solve this task. The learned topological results can be used to improve students' learning efficiency by providing students with personalized learning paths and predicting students' future exercise performance. Experimental results demonstrate that our method is effective to generate reasonable topological order of skills.",1,
10.1145/3529466.3529477,2022,A Novel Knowledge Tracing Model Based on Collaborative Multi-Head Attention,"Online education is playing a more and more important role in today's education. The key link of online education is to model students' knowledge mastery according to their historical behaviors, so as to obtain the knowledge tracing represented by students' current knowledge state. Previous Transformer-based knowledge tracing models have disadvantages such as inefficient model computation and redundant information on the one hand. On the other hand, the traditional knowledge tracing model cannot solve the problem of imbalanced positive and negative samples in the data well. In order to better model the current knowledge state of students, this paper proposes a knowledge tracing model based on the collaborative multi-head attention mechanism. The model uses a collaborative multi-head attention mechanism to solve the information redundancy problem in the previous Transformer-based knowledge tracing model, and improves the computational efficiency and performance of the model. The model also introduces a focal loss function, which not only solves the problem of imbalanced question labeling divisions in knowledge tracing but also improves the differentiation of difficulty level among the questions and enhances the accuracy of model prediction. The experimental results on three public experimental datasets show that the knowledge tracing model based on the collaborative multi-head attention mechanism proposed in this paper outperforms other recent knowledge tracing models in terms of evaluation metric AUC and also has better performance in predicting students' responses.",1,
,2021,Multi-factor Memory Attentive Model for Knowledge Tracing,"The traditional knowledge tracing with neural network usually embeds the required information and predicates the knowledge proficiency by embedded information. Only few information, however, is considered in traditional methods, such as the information of exercises in terms of concept. In this paper, we propose a multi-factor memory attentive model for knowledge tracing (MMAKT). In terms of Neural Cognitive Diagnosis (NeuralCD) framework, MMAKT introduces the factors of the knowledge concept relevancy, the difficulty of each concept, the discrimination among exercises and the student's proficiency to construct interaction vectors. Moreover, in order to achieve more accurate prediction precision, MMAKT introduces attention mechanism to enhance the expression of historical relationship between interactions. With the experiments on the real-world datasets, MMAKT shows better performance of knowledge tracing and prediction in comparision with the state-of-the-art approaches.",1,
10.1016/j.compeleceng.2022.108179,2022,Time Interval Aware Self-Attention approach for Knowledge Tracing?,"Knowledge Tracing aims to discover the students' states of mastery for different knowledge or concepts on interaction sequences. It has been widely applied to intelligent educational systems. In recent years, deep neural network-based methods have achieved sound performance on this task because they have a powerful feature representation learning ability. However, two main problems hinder the further development of the existing deep learning-based Knowledge Tracing methods. The first problem is that the interaction history is treated as an ordered sequence, which ignores the individual time intervals between each interaction. The second problem is that higher-order temporal features for knowledge tracing have not been extensively explored. In this paper, to address these problems, we propose a method called the Time Interval Aware Self-Attention approach for Knowledge Tracing (TISAKT), which takes the relationship between exercises into consideration. More specifically, firstly, the relationship between exercises is modeled from the interactions introduced into the absolute positions and the time intervals of answered exercises at the same time. Then, temporal features are exploited implicitly by a temporal convolutional network. Extensive experiments on the two real-world datasets show that our model consistently outperforms state-of-the-art knowledge tracing methods.",1,
10.1016/j.engappai.2024.107969,2024,Adaptive meta-knowledge dictionary learning for incremental knowledge tracing,"Across intelligent education, knowledge tracing (KT) is a fundamental problem in realizing personalized education. Recently, several approaches using Recurrent Neural Networks (RNNs) view knowledge tracing problems as predicting a student's future performance based on the student's past learning activities. However, deep learning -based models merely predict the students' future performance, failing to explain the reason why the students answered correctly or incorrectly. These approaches are seldom investigated from a theoretical perspective, preventing a deep understanding of student learning. In this paper, we first define incremental knowledge tracing problem and then propose a dynamic tracing method to track students' knowledge changes, a new online learning -based model, named Online Meta -knowledge Dictionary Learning (OMDL). OMDL assumes that student knowledge increment is processed with stationary independent increments and derives the objective function of knowledge tracing from the perspective of probability. More precisely, this method has three innovations: propose an online learning algorithm suitable for hidden Markov data; update the metaknowledge dictionary and students' knowledge representation online without collecting all data; and trace student knowledge increment explicitly. The empirical study was conducted on four education public datasets, with student prediction accuracy used as the metric for assessing algorithm effectiveness. Experimental results indicate that the OMDL algorithm outperforms existing knowledge tracing methods, achieving a 20% increase in prediction accuracy across all datasets.",1,
10.1007/978-3-030-82136-4_46,2021,Knowledge Tracing with Exercise-Enhanced Key-Value Memory Networks,"Knowledge tracing is a critical component of an intelligent tutoring system. It can track students' knowledge states and skill mastery in order to provide a more helpful learning environment for them (for example, personalized exercise recommendations). People have been trying to apply the deep learning framework in recent years to tackle the challenge of tracing knowledge. Although these deep learning models produce impressive outcomes, they do have significant drawbacks. In existing prediction models, each exercise is often represented by a basic sequence number code, and the semantic information contained in the exercise text description has not been fully mined. We introduce a new profound education method, Knowledge Tracing with Exercise-Enhanced Key-Value Memory Networks (EKVMN) in this study, that fully utilizes the text information of questions as well as the memory function of the existing deep knowledge tracing model to predict students' performance. Experiments on real-world knowledge tracing datasets reveal that our proposed model outperforms the baselines in terms of prediction performance. It also demonstrates the significance of context semantic information in the knowledge tracing task.",1,
10.1007/978-3-031-42682-7_13,2023,Broader and Deeper: A Multi-Features with Latent Relations BERT Knowledge Tracing Model,"Knowledge tracing aims to estimate students' knowledge state or skill mastering level over time, which is evolving into an essential task in educational technology. Traditional knowledge tracing algorithms generally use one or a few features to predict students' behaviour and do not consider the latent relations between these features, which could be limiting and disregarding important information in the features. In this paper, we propose MLFBK: A Multi-Features with Latent Relations BERT Knowledge Tracing model, which is a novel BERT based Knowledge Tracing approach that utilises multiple features and mines latent relations between features to improve the performance of the Knowledge Tracing model. Specifically, our algorithm leverages four data features (student_id, skill_id, item_id, and response_id, as well as three meaningful latent relations among features to improve the performance: individual skill mastery, ability profile of students (learning transfer across skills), and problem difficulty. By incorporating these explicit features, latent relations, and the strength of the BERT model, we achieve higher accuracy and efficiency in knowledge tracing tasks. We use t-SNE as a visualisation tool to analyse different embedding strategies. Moreover, we conduct ablation studies and activation function evaluation to evaluate our model. Experimental results demonstrate that our algorithm outperforms baseline methods and demonstrates good interpretability.",1,
10.1007/978-3-031-11644-5_51,2022,A Generic Interpreting Method for Knowledge Tracing Models,"To interpret the deep learning based knowledge tracing models (DLKT), we introduce a generic method with four-step procedure. The proposed method and procedure are generally applicable to the DLKT models with diverse inner structures. The experiment results validate them on three existing knowledge tracing models, where the individual contributions of the input question-answer pairs to the models' decision are properly calculated. By leverage the calculated interpreting results, we explore the key information hidden in the DLKT models.",1,
10.1016/j.asoc.2024.112194,2024,Dynamic heterogeneous graph contrastive networks for knowledge tracing,"Knowledge tracing (KT) is a crucial task in online education that traces students' evolving cognition changes over time. However, it is a challenging task due to the heterogeneity of knowledge and incomplete cognition evolution sequences. This paper proposes KT-Deeper, a long-term K nowledge T racing framework based on D ynamic reinforced e inforced heterogeneous e terogeneous graph p h contrastive e networks, r ks, to predict students' cognitive states on specific skills. Particularly, KT-Deeper initially employs temporal heterogeneous graphs to model the interconnections between different types of knowledge entities ( e.g. , students, exercises, and skills). Subsequently, KT-Deeper formalizes knowledge tracing as a dynamic link prediction task on the temporal heterogeneous graph sequence and proposes a reinforced graph generation approach to refine the incomplete graph sequence for supporting long-term knowledge tracing. KT-Deeper further presents a self-supervised heterogeneous graph embedding method to extract the structural features of knowledge evolution. Finally, KT-Deeper leverages recurrent neural networks to learn the temporal features of students' cognitive evolution and predict whether a student will master a specific skill. Experimental results confirm that KT-Deeper exhibits superior performance compared to existing cutting-edge techniques, showcasing its promising accuracy and robustness in incomplete long-term knowledge tracing tasks.",1,
10.1145/3472634.3472664,2021,BSLKT: A Bagging Model with Self-Attention and LightGBM for Knowledge Tracing,"Knowledge tracing(KT) is a hot topic in computer-supported education. It's a task that can model a sequences of learning activities that students engage with, so as to trace the students' continuously developing state of knowledge. One important purpose of knowledge tracing is that it can evaluate students' mastery of knowledge concepts(KCs) according to their performance in learning activities, in order to customize personalized learning plans for students to help them get better learning plans. In recent years, many knowledge tracing methods have been proposed, which can be divided into Recurrent Neural Networks(RNN) based methods and self-attention based methods. Methods based on RNN include Deep Knowledge Tracing(DKT), Dynamic Key-Value Memory Network(DKVMN), etc. These RNN methods have better performance than traditional knowledge tracing methods. However, they are not suitable for dealing with sparse data, that is, situations where students interact with few KCs. The Self-Attention model for Knowledge Tracing(SAKT) uses the self-attention mechanism, which can identify the KCs from the learning activities that students participated in and are related to a given KC, so as to predict the mastery of the given KC. Therefore, SAKT can deal with the sparse data problem that the RNN methods are not suitable for processing. LightGBM is a gradient boosting framework that uses a tree based learning algorithm and is one of the current mainstream machine learning algorithms. In order to make the prediction more accurate, we propose the BSLKT model, which fuses the SAKT model and the LightGBM model in bagging manner. In addition, we performed feature engineering preprocessing on the experiment dataset. The experiment compared the accuracy of SAKT model, LightGBM model and the BSLKT model and the results show that BSLKT can achieve better prediction performance.",1,
10.1016/j.eswa.2023.123128,2024,Learning consistent representations with temporal and causal enhancement for knowledge tracing,"Knowledge tracing is a crucial component of intelligent educational systems and deep learning technologies have significantly propelled its advancement. However, most existing models suffer from the incomplete data modeling problem of knowledge tracing, leading to inconsistent representations of students' actual knowledge states. This paper proposes a new approach called Temporal- and Causal-enhanced Knowledge Tracing to improve the consistency of students' knowledge state representations in intelligent educational systems. In particular, our method introduces a causal self -attention mechanism based on front-door adjustment theory, which improves interaction representation and reduces prediction errors caused by dataset bias. To effectively integrate the features of interval and response times into our model, we further use forget and input gates to simulate knowledge forgetting and acquisition, respectively. This maintains consistent learning behavior representations and improves model predictions. The results of our extensive experiments on the three datasets demonstrate that our method outperforms previous knowledge-tracing methods in predicting student scores.",1,
10.1007/s10489-024-05509-8,2024,A survey of explainable knowledge tracing,"With the long-term accumulation of high-quality educational data, artificial intelligence (AI) has shown excellent performance in knowledge tracing (KT). However, due to the lack of interpretability and transparency of some algorithms, this approach will result in reduced stakeholder trust and a decreased acceptance of intelligent decisions. Therefore, algorithms need to achieve high accuracy, and users need to understand the internal operating mechanism and provide reliable explanations for decisions. This paper thoroughly analyzes the interpretability of KT algorithms. First, the concepts and common methods of explainable artificial intelligence (xAI) and knowledge tracing are introduced. Next, explainable knowledge tracing (xKT) models are classified into two categories: transparent models and “black box” models. Then, the interpretable methods used are reviewed from three stages: ante-hoc interpretable methods, post-hoc interpretable methods, and other dimensions. It is worth noting that current evaluation methods for xKT are lacking. Hence, contrast and deletion experiments are conducted to explain the prediction results of the deep knowledge tracing model on the ASSISTment2009 by using three xAI methods. Moreover, this paper offers some insights into evaluation methods from the perspective of educational stakeholders. This paper provides a detailed and comprehensive review of the research on explainable knowledge tracing, aiming to offer some basis and inspiration for researchers interested in the interpretability of knowledge tracing.",0,0
,2021,Does Large Dataset Matter? An evaluation on the Interpreting Method for Knowledge Tracing,"Deep learning has become a competitive method to build knowledge tracing (KT) models. Deep learning based knowledge tracing (DLKT) models adopt deep neural network but lack interpretability. The researchers have started working on interpreting the DLKT models by leveraging on methods in explainable artificial intelligence (xAI). However, the previous study was conducted on a relatively small dataset without comprehensive analysis. In this work, we perform the similar interpreting method on the largest public dataset and conduct the comprehensive experiments to fully evaluate its feasibility and effectiveness. The experiment results reveal that the interpreting method is feasible on the large-scale dataset, but its effectiveness declines with the larger size of learners and longer sequences of learner exercise.",0,
10.1007/978-981-97-5612-4_41,2024,ETVKT: Enhanced Training Vector for Knowledge Tracing,"Knowledge tracing is an effective tool for assessing learners' knowledge mastery status through learning activities. The primary objective of Knowledge tracing is to individualize the practice sequence in order to facilitate efficient acquisition of knowledge concepts by students. In recent years, Knowledge tracing methods based on deep learning has achieved performance beyond traditional models. However, most deep learning models ignore the impact of feature vector training methods on the overall performance of the model. In this paper, we propose a novel Enhanced Training Vector for Knowledge Tracing (ETVKT). ETVKT has an additional contextual text information layer to capture the correlation information between texts. And it employs Temporal Convolutional Network (TCN) as a state extraction layer to mine the learner's knowledge mastery status. Slightly different from the general training process, the encoding vector is directly input into the TCN, thereby enhancing the model's attention towards pivotal information. Finally, the feature vector is decoded using Long Short-term Memory Network. We conduct evaluation experiments on the ASSISTments2009 and ASSISTments2017 datasets. The experimental results demonstrate that the ETVKT model outperforms the existing baseline knowledge tracing model in terms of performance.",1,
10.1007/s00521-022-07834-w,2023,Knowledge tracing based on multi-feature fusion,"Knowledge tracing involves modeling student knowledge states over time so that we can accurately predict student performance in future interactions and recommend personalized student learning paths. However, existing methods, such as deep knowledge tracing and dynamic key-value memory networks (DKVMN), fail to comprehensively consider some key features that may influence the prediction results of knowledge tracing. To solve this problem, we propose a new model called knowledge tracing based on multi-feature fusion (KTMFF), which introduces features of the question text, the knowledge point difficulty, the student ability, and the duration time, etc., provides feature extraction methods, and uses a multi-head self-attention mechanism to combine the above features. This model predicts student mastery levels of knowledge points more accurately. Experiments show that the area under curve (AUC) of the KTMFF model is 3.06% higher than that of the DKVMN model. Furthermore, the ablation study indicates that each of the above features can improve the AUC of the model.",1,
10.1007/978-3-030-52240-7_66,2020,Learning from Interpretable Analysis: Attention-Based Knowledge Tracing,"Knowledge tracing is a well-established problem and non-trivial task in personalized education. In recent years, many existing works have been proposed to handle the knowledge tracing task, particularly recurrent neural networks based methods, e.g., Deep Knowledge Tracing (DKT). However, DKT has the problem of vibration in prediction outputs. In this paper, to better understand the problem of DKT, we utilize a mathematical computation model named Finite State Automaton(FSA), which can change from one state to another in response to the external input, to interpret the hidden state transition of the DKT when receiving inputs. And we discover the root cause of the two problems is that the DKT can not handle the long sequence input with the help of FSA. Accordingly, we propose an effective attentionbased model, which can solve the above problem by directly capturing the relationships among each item of the input regardless of the length of the input sequence. The experimental results show that our proposed model can significantly outperform state-of-the-art approaches on several well-known corpora.",1,
10.1109/BigComp57234.2023.00023,2023,Inductive Graph-based Knowledge Tracing,"The rise of virtual education and increase in distance, partly owing to the spread of COVID-19 pandemic, has made it more difficult for teachers to determine each student's learning status. In this situation, knowledge tracing (KT), which tracks a student's mastery of specific knowledge concepts, is receiving increasing attention. KT utilizes a sequence of student-exercise interactive activities to predict the mastery of concepts corresponding to a target problem, recommending appropriate learning resources to students and optimizing learning sequences for adaptive learning. With the development of deep learning, various studies have been proposed, such as sequential models using recurrent neural networks, attention models influenced by transformers, and graph-based models that depict the relationships between knowledge concepts. However, they all have common limitations in that they cannot utilize the learning activities of students other than the target student and can only use a limited form of exercise information. In this study, we have applied the concept of rating prediction to the student-exercise knowledge tracing problem and solved the limitations of the existing models. Our proposed Inductive Graph-based Knowledge Tracing (IGKT) designed to integrate structural information and various unrestricted types of additional information into the model through subgraph sampling, has been found superior over the existing models across two different datasets in predicting student performances.",1,
