ID,RQ3
39,""" her mastery status of the
knowledge points gradually changed during the exercise. Notably,
as she responded correctly to the exercises, her knowledge sta-
tus of the corresponding knowledge points increased; conversely,
when she answered incorrectly, her mastery level decreased ac-
cordingly. The above results show that the GFKT model can trace
students� mastery of each knowledge point in real time based on
their answers after obtaining the results of their responses."""
40,"Heatmaps.

""we can see that GKT clearly updates the knowledge state of related concepts only, although DKT updates that of all the concepts indistinctly and cannot model the change in related concepts."""
41,"Heatmap: ""The student�s knowledge state showing his mastery of knowl-
edge concepts is presented in Fig. 9, from which we can
observe that by answering fewer questions, we cannot capture
the significant change in his/her mastery of the concepts."""
42,"We can observe the aggregation weights for each relation. The sections composed of E, K and L in the heatmap are more similar over all datasets, where the aggregation rates of K to E and E to L are extremely high. Intuitively, the representations of K and E require more information about E and L. As a result, the feature rep- resentations among the related nodes can be enhanced by means of a heterogeneous aggregation network."
43,"Via heatmaps (they call it ""thermodynamic diagramm)

""Furthermore, we observed that Knowledge concept 3 demonstrated a decreasing tendency of knowledge mastery over time owing to longterm inactivity, i.e., temporally updating the knowledge state. This result indicated that spatiotemporal dimensions had an influence on student knowledge states."""
44,No
45,"we observe that: (1) since the student always gives wrong responses to k3 after answering the question 20 (e.g. question 21,43), the knowledge state of k3 is constantly decline. On the other hand, the student always gives right answers to the questions (question 22-31) which are related to the k5 hence the knowledge acquisition of k5 is constantly increasing. (2) The knowledge states of little-attempted KCs are slightly lower than those of the diligent-attempted KCs"
46,"We can draw the following conclusions from the figure. For skill s46, the student continued to practice relevant questions (e.g., q1, q2, q6, et al.) during this period, resulting in a higher level of mastery. For skills s49 and s92, the student can master these two skills through fewer questions, and the mastery level has obvious changes and improvements in the process of answering the questions. It can be seen that the student does not master skill s81 well and often makes mistakes; hence, he does not master it in the end. For skill s40, the student had good mastery at the beginning, but his mastery level dropped slightly later. He might have forgotten because he had not practiced in a while, indicating that he needs to review it in time"
47,"To make the prediction more intuitive, we draw a heat map of the predicted values in Fig. 3, where a student practices 15 questions related to four KCs. Note that the prediction in the first column relies on a correct answer to the KC �Stem and Leaf Plot�, which is not shown in the heat map. We can see that even though the student answered q5, q6, and q7 incorrectly, the predicted values labeled in the red box still show an increase, indicating that he/she acquires knowledge from the requested hints. This phenomenon indicates that our model is performing as expected and interaction patterns have an impact on knowledge states."
48,"The evidence in intra-student information indi-cates that the student has a high probability to correctly answer ____ .However, the student gives the wrong answer as it is presented inFigure 8, ____ is annotated by hollow grid. On the other hand, fromthe inter-student information presented in Figure 8, we can observethat 7/10 = 70% peer students incorrectly answered the questionwith ID 1. It implies that the student has a high probability of in-correctly answering ____ , which is consistent with the ground truth.By integrating the inter-student information with the intra-studentinformation, our CoKT predicts that the student has only 46.87%probability of correctly answering the question. That means, theinter-student information is beneficial for the prediction, especiallywhen intra-student information is less informative."
49,"Heatmap: ""when a student gives correct answers to a skill k, the DKT does not sometimes update the current state of knowledge on that skill (the skill stays low or is updated very slowly). """
50,Simple heatmap with shallow explanation
51,No
52,"""From the perspective of the change process of the three heat maps, DKT fluctuates greatly in the process of knowledge state prediction, while DKVMN is relatively small, and the overall fluctuation of ISTCKT is smallest, which indicates that ISTCKT can better simulate the real learning process of students, and the prediction results of the model are more accurate and reliable."""
53,"Heatmaps: ""As shown, when the student answers a
question correctly/incorrectly during practice, their mastery of the
question clearly strengthens/weakens. Moreover, as time goes by,
we find that the student gradually forget questions he/she have
previously mastered."""
54,"the
learner�s mistakes in __12 led to the poor mastery of the knowledge
__7, __23 and __29, which demonstrates that incorporating the direct
and indirect support graph do affect the results of the diagnosis"
55,No
56,"They present heatmaps which are showing how the model

""exercises where the student initially answered incorrectly and then correctly after multiple
attempts, the gradient of the values reflects the student�s gradually improving mastery
of the exercise throughout the answer sequence"""
57,"Heatmaps: ""For example, when the learner answers the first item correctly, the state value of the fifth KC (marked red) underlying this item increases. When the learner obtains incorrect answers for the sixth and seventh items, the state value of the fifth KC gradually decreases. When he attempts the 19th, 31st, and 39th items with the same fifth KC correctly, this value increases again until it shows that the learner has mastered this KC. """
58,"However, it can also be observed that some changes are counter-intuitive. For example, at t = 3, as the student solved a problem with skill 92 incorrectly, the corresponding estimate in- creased from 23% to 24% even though the change was only 1%. This problem has also been addressed for DKT in a previous work and is still an open problem to be improved"
59,"The heat map on the right shows the evolution of the learner�s skill mastery before and after attempting a series of questions. Each cell in the map indicates the learner�s mastery of a specific skill at some time point. Over time, the mastery level increases from low (orange) to high (green) as the learner gradually masters the skills."
60,"Comparing Fig. 3a, b, we can see that in the DKVMN model, the initial states of the third to fifth knowledge points are basically the same, but in the KTMFF model, the value of the fifth knowledge point�s initial state is obviously smaller, and the fifth knowledge point is not mastered in the end. This shows that the KTMFF model can learn the attributes of each knowledge point (such as the knowledge point difficulty) in advance, thereby solving the cold start problem to a certain extent. For the answers to the first ten questions, in the DKVMN model, the evolution of the knowledge state of the second knowledge point is obviously not in line with the actual situation, and the KTMFF model shows a smoother transition. Therefore, the KTMFF model can better simulate the evolution of the knowledge state in the learning process."
61,"Figure 5 shows the changing process of a learner�s knowledge proficiency on three concepts traced by LBKT after he finished answering 9 questions sequentially. We find that although the learner has answered question __3 related to concept �Division Fractions� correctly, his proficiency on it decreases from 0.74 to 0.65. To investigate the reason, we move our sight to his learning behaviors presented in the right part of Figure 5. We note that he spends 14 seconds with one attempt to obtain the correct answer and the Speed factor ____ estimated by DBEQ is extremely high (0.89). This implies the learner answers too fast and is possibly viewed as guessing, so LBKT narrows his knowledge acquisition and together with the forget gate decreases his proficiency. Similarly, when the learner answers question __9 with high factors as 0.97, 0.73 and 0.99 under three behaviors, the cooperative effect of these three behaviors drives the decline of proficiency in the answering concept �Addition and Subtraction Fractions�. LBKT tracks learners� proficiency not only based on their responses but also considers different behaviors� effect, thus making more accurate and reasonable estimation."
62,"They provide Fig. (7) of fluctations, showing that their model make it less fluctatious: ""our proposed TCKT does not cause the knowledge state to fluctuate dramatically due to incorrect answers, indicating that it has more advantages in maintaining cognitive consistency""

They also claim their model able to trace implicit associations between concepts:
""after students answer the questions corresponding to a specific concept, not only will this concept�s knowledge state be improved, but the other concepts� knowledge state with the implicit association will also be improved to varying degrees."""
63,"In the figure, this student starts with a randomly initialized value memory matrix Mt 0 at time step 0 before working on A1B. After finishing the A1B, student�s knowledge is updated and increased a little on concept 3 and 6 before working on A3. Student�s knowledge grows gradually by working on assignments A3 and watching video lectures in week 4. However, student�s knowledge drops a little before working on assignment A4 and it explains the reason why that student only receives a score 0.3 at the first attempt. Student�s knowledge on all concepts grow by working on the assignments until the student started watching video lecture W6V 1. We can see a slight drop in student�s knowledge of some of the concepts (e.g., 7) and increase in other concepts (e.g., 1) while they are watching these videos. One potential reason for the decrease on concept 7 could be the lack of practice with assignments. Watching video lectures indeed improve student knowledge on concept 1 and 2. Another reason for the drop in concept 7 could be related to the student�s problem solving ability which results in their first attempt on Assignment A7 to have a score of 0.3. Once the student�s first attempt on A7 is done, this student quickly masters concept 7 again and their knowledge on all concepts continues to grow along different activities. In this example, it seems the assessed learning material improves student knowledge more than watching video lectures, which is inline with the previous literature [10, 13]. Another observation is that this student skips watching video lectures in weeks 1, 2, and 3 before working on assignment A3. Similarly, they did not watch videos in week 5 and 6 before trying A5 and A6. This may explain that this student is not interested in watching video lectures and may not be fully present during watching video lectures which results in tiny knowledge growth over watching them."
64,"For example, even the student answer exercise e5 and e12wrongly, LPKT thinks his/her knowledge state on related knowl-edge concepts (i.e., Addition and Subtraction Intergers and OrderingIntergers) can also get promotion. We note that after answering ex-ercise e7 wrongly, his/her knowledge state is reductive, the reasonis that his/her performance on Addition and Subtraction Intergersis not stable in this stage and LPKT is trying to modify his/herknowledge state. Secondly, if the student does not practice on someknowledge concepts, his/her knowledge state on these conceptswill reduce gradually as time goes on."
65,GRKT yields reasonable knowledge tracing results such as the fine-grained knowledge changing from testing effects and the faded knowledge with forgetting curves. LPKT and DKT still have reasonable issues such as the mastery change of unrelated KCs and no mastery change of related KCs.
66,"he statechanges captured by the DKT model appear to be abrupt. The student�smastery of concepts is unstable and lacks regularity. In contrast, thelower chart, which reflects changes as captured by MPSG+DKT, showsthat when the student correctly answered an exercise, his/her masteryof the associated concept increased. Conversely, if the student doesnot interact with an exercise for an extended period, there will notbe a significant change in the mastery of the corresponding concept,reflecting the general patterns observed in the actual learning process."
67,"Heatmap: "" For this knowledge concept, the student�s answers alternated between correct and incorrect, leading to fluctuations in the values corresponding to the knowledge state of each knowledge point"""
68,"For the student __1, the answer bias suggests that students tend to make mistakes more often for the question __8. DKT agrees with this logic and predicts that __1 is more likely to answer incorrectly. However, in recent learning interactions, __1 has consistently provided correct answers to the questions that are associated with the same concept as __8. Therefore, it is more reasonable to expect that __1 will answer __8 correctly, which indeed is the case. In contrast, DKT-CORE gives the accurate prediction, showcasing its resistance to answer bias. Similarly, since DKT-CORE can concentrate more on the understanding of students� knowledge states, it avoids the misprediction of DKT for the student __2, which is also caused by the impact of answer bias."
69,"Heatmap: ""The evolution process of knowledge shown by the new model is smooth and free of oscillation. For example, in the continuous wrong answers (31 to 34) and the continuous right answers (3 to 7), the change in the knowledge level of the student is continuous and reasonable"""
70,"The paper addresses sequential stability indirectly by improving prediction consistency over time-steps through regularization in models like DKT+. However, it does not explicitly evaluate sequential stability or prediction fluctuation. Instead, it uses AUC as a performance metric and compares different models to assess overall performance."
71,simple attention heatmap without enough explaination
72,"Heatmap: ""our pro- posed model can capture students� learning progress from both wrong and right learning interactions. For example, even the student answered exercise e2, e3, e4, and e8 wrongly, LPKT thinks his/her knowledge state on related knowledge concepts (i.e., 70: Square Root and 89: Ordering Fractions) can also get promotion. After wrongly answering exercise e12, we note that LPKT-S thinks that his/her knowl- edge state will decrease."""
73,No
74,"From the visualization, we can observe that the individual�s mastery of the corresponding concept of the exercise increases even if it is answered incorrectly, which implies that wrongly responding to the exercise also brings knowledge gain. In addition, it can be seen that the knowledge gained from individual learning affects the group�s knowledge level, yet the degree of impact varies under different time frames, meaning that the effect of the individual on the group varies over time, which is in line with the real scenario."
75,"""illustrates the fluctuations
in a student�s ability levels across three distinct skills. The first column
of the figure represents the student�s initial ability state. As the student
responds to questions associated with each skill, their ability levels for
each point undergo gradual changes. Here are some key observations
from the figure: (1) Dynamic Ability Evolution: The student�s ability
levels evolve dynamically as they answer questions. When the student
correctly answers the first question, the mastery level of the second skill
increases. Conversely, when the student answers the last four questions
incorrectly, the mastery level of the second skill starts to decline.
Additionally, after the student answers the sixth question incorrectly,
the mastery level of the ninth skill also decreases. (2) Identification
of Mastery: After responding to a total of 36 questions, it becomes
apparent that the student has not yet mastered the second skill."""
76,No
77,"Prediction waviness is defined as follows: for an individual student, prediction waviness can be obtained according to the observed input and the change in the corresponding prediction at two different time steps."
78,"Heatmap: ""SPAKT can learn the
relationship between exercises and skills, to a certain extent.
Take the exercise No.1361 as an example, the predicted skill
No.6 is obviously owning the higher probability compared
with other predicted skills, and it happens to be the real label
of the exercise No.1361. Similar findings can be obtained
from other four exercises."""
79,"As shown in Figs. 4 and 5, we can observe that the proposed approach has a better performance in terms of accuracy of knowledge state prediction as well as stability of predicted changes compared to DKT. For example, when the student repeatedly answers knowledge concept 32 incorrectly, the proposed approach predicts that the knowledge state of concept 32 decreases gradually. In comparison, DKTs knowledge state prediction is in higher volatility"
80,"use of sensitivity analysis to evaluate how changes in input variables affect the model's predictions, thereby assessing prediction fluctuation."
81,"At the initial stage, the mastery level of each skill is low, but after a period of practice, the learner�s relevant knowledge state gradually improves. Although there may be some fluctuations during the training process, the learner�s final knowledge state can reach a high and relatively stable level."
82,"The grid marked with a red box in the figure indicates that the prediction results of the three models are inconsistent, where the number _ _ {_2, _1, 1, 2} represents the comparison results among DKT, SKT and DKTMR. Specifically, we denote the prediction results of DKT, SKT and DKTMR as ____, ____ , ____ _ {0, 1} respectively, where 1 indicates the prediction result of the model is correct; else, it is 0."
83,"Our two models perform smoother than DKT as self-attention considers the global dependency among each item of the input, which can significantly prevent the wavy transition of the prediction"
84,"Qualitative visualization through heatmaps showing knowledge state evolution over time. Introduces the concept of temporal consistency for evaluating model predictions across learning sequences."
