#,DOI,Year,Title,Abstract,"Score (0=exclude, 0.5=unsure, 1=include)"
11,10.19884/j.1672-5220.202011091,2021,Prediction of Online Judge Practice Passing Rate Based on Knowledge Tracing,"Programming ability has become one of the most practical basic skills, and it is also the foundation of software development. However, in the daily training experiment, it is difficult for students to find suitable exercises from a large number of topics provided by numerous online judge(OJ) systems. Recommending high passing rate topics with an effective prediction algorithm can effectively solve the problem. Directly applying some common prediction algorithms based on knowledge tracing could bring some problems, such as the lack of the relationship among programming exercises and dimension disaster of input data. In this paper, those problems were analyzed, and a new prediction algorithm was proposed. Additional information, which represented the relationship between exercises, was added in the input data. And the input vector was also compressed to solve the problem of dimension disaster. The experimental results show that deep knowledge tracing (DKT) with side information and compression (SC) model has an area under the curve (AUC) of 0.776 1, which is better than other models based on knowledge tracing and runs faster. = Copyright © 2021 Journal Center of Donghua University. All right reserved.",
12,10.1145/3539597.3575790,2023,Recent Advances on Deep Learning based Knowledge Tracing,"Knowledge tracing (KT) is the task of using students' historical learning interaction data to model their knowledge mastery over time so as to make predictions on their future interaction performance. Recently, remarkable progress has been made of using various deep learning techniques to solve the KT problem. However, the success behind deep learning based knowledge tracing (DLKT) approaches is still left somewhat unknown and proper measurement and analysis of these DLKT approaches remain a challenge. In this talk, we will comprehensively review recent developments of applying state-of-the-art deep learning approaches in KT problems, with a focus on those real-world educational data. Beyond introducing the recent advances of various DLKT models, we will discuss how to guarantee valid comparisons across DLKT methods via thorough evaluations on several publicly available datasets. More specifically, we will talk about (1) KT related psychometric theories; (2) the general DLKT modeling framework that covers recently developed DLKT approaches from different categories; (3) the general DLKT benchmark that allows existing approaches comparable on public KT datasets; (4) the broad application of algorithmic assessment and personalized feedback. Participants will learn about recent trends and emerging challenges in this topic, representative tools and learning resources to obtain ready-to-use models, and how related models and techniques benefit real-world KT applications. © 2023 Owner/Author.",
13,10.1007/s13042-024-02219-y,2024,Domain adaptive knowledge tracing,"Knowledge Tracing (KT) is one of the fundamental tasks in intelligent education, which mainly predicts students' performance on new questions based on their historical learning interaction behavior. Although many deep learning methods have been successfully applied to KT tasks, there are still some problems in real scenarios. The data acquisition of student interactions is often the key problem in many KT tasks, since most KT models require a large amount of student interaction data for model training. However, such data is difficult to obtain because it may contain personal information about students. Our goal is to leverage existing student exercises from another subject/dataset (namely source domain) to train a KT model and adapt it to the current subject/dataset (namely target domain) using only a small amount of target domain data. Therefore, we propose a novel Domain Adaptive Knowledge Tracing model (DAKT). To achieve the adaptation of knowledge tracing, we design a domain-shared answer embedding module to capture the behavioral features of students' past answers and a domain-adaptive knowledge state module to adapt the model to the target domain. We conduct extensive experiments on four benchmark datasets to demonstrate the effectiveness of our model.",
14,10.1145/3543507.3583866,2023,Enhancing Deep Knowledge Tracing with Auxiliary Tasks,"Knowledge tracing (KT) is the problem of predicting students' future performance based on their historical interactions with intelligent tutoring systems. Recent studies have applied multiple types of deep neural networks to solve the KT problem. However, there are two important factors in real-world educational data that are not well represented. First, most existing works augment input representations with the co-occurrence matrix of questions and knowledge components1 (KCs) but fail to explicitly integrate such intrinsic relations into the final response prediction task. Second, the individualized historical performance of students has not been well captured. In this paper, we proposed AT-DKT to improve the prediction performance of the original deep knowledge tracing model with two auxiliary learning tasks, i.e., question tagging (QT) prediction task and individualized prior knowledge (IK) prediction task. Specifically, the QT task helps learn better question representations by predicting whether questions contain specific KCs. The IK task captures students' global historical performance by progressively predicting student-level prior knowledge that is hidden in students' historical learning interactions. We conduct comprehensive experiments on three real-world educational datasets and compare the proposed approach to both deep sequential KT models and non-sequential models. Experimental results show that AT-DKT outperforms all sequential models with more than 0.9% improvements of AUC for all datasets, and is almost the second best compared to non-sequential models. Furthermore, we conduct both ablation studies and quantitative analysis to show the effectiveness of auxiliary tasks and the superior prediction outcomes of AT-DKT. To encourage reproducible research, we make our data and code publicly available at https://github.com/pykt-team/pykt-toolkit 2. © 2023 ACM.",
15,10.1145/2876034.2893397,2016,Personalized Adaptive Learning using Neural Networks,"Adaptive learning is the core technology behind intelligent tutoring systems, which are responsible for estimating student knowledge and providing personalized instruction to students based on their skill level. In this paper, we present a new adaptive learning system architecture, which uses Artificial Neural Network to construct the Learner Model, which automatically models relationship between different concepts in the curriculum and beats Knowledge Tracing in predicting student performance. We also propose a novel method for selecting items of optimal difficulty, personalized to student's skill level and learning rate, which decreases their learning time by 26.5% as compared to standard pre-defined curriculum sequence item selection policy.",
16,10.1007/978-3-319-46681-1_14,2016,Topological Order Discovery via Deep Knowledge Tracing,"The goal of discovering topological order of skills is to generate a sequence of skills satisfying all prerequisite requirements. Very few previous studies have examined this task from knowledge tracing perspective. In this paper, we introduce a new task of discovering topological order of skills using students' exercise performance and explore the utility of Deep Knowledge Tracing (DKT) to solve this task. The learned topological results can be used to improve students' learning efficiency by providing students with personalized learning paths and predicting students' future exercise performance. Experimental results demonstrate that our method is effective to generate reasonable topological order of skills.",
17,10.1109/ACCESS.2024.3388718,2024,DKVMN-KAPS: Dynamic Key-Value Memory Networks Knowledge Tracing With Students' Knowledge-Absorption Ability and Problem-Solving Ability,"Knowledge tracing aims to predict students' future question-answering performance based on their historical question-answering records, but the current mainstream knowledge tracing model ignores the individual differences in different students' knowledge-absorption and problem-solving abilities, which leads to a poor prediction of students' question-answering performance by the model. To solve this, Dynamic Key-Value Memory Networks Knowledge Tracing with Students' Knowledge-Absorption Ability and Problem-Solving Ability (DKVMN-KAPS) is proposed in this paper. Firstly, a hierarchical convolutional neural network is used to consider students' knowledge mastery at multiple time steps, and then quantify students' knowledge-absorption ability, aiming to more accurately portray students' knowledge states; secondly, an autoencoder is used to dynamically update students' problem-solving ability at each time step; and finally, students' question answering performance is predicted by considering the students' knowledge state, problem-solving ability, and question features. Extensive experiments on three datasets show that the prediction performance of DKVMN-KAPS outperforms existing models and improves the prediction accuracy of deep knowledge tracing models.",
18,10.1145/3485447.3512105,2022,Contrastive Learning for Knowledge Tracing,"Knowledge tracing is the task of understanding student's knowledge acquisition processes by estimating whether to solve the next question correctly or not. Most deep learning-based methods tackle this problem by identifying hidden representations of knowledge states from learning histories. However, due to the sparse interactions between students and questions, the hidden representations can be easily over-fitted and often fail to capture student's knowledge states accurately. This paper introduces a contrastive learning framework for knowledge tracing that reveals semantically similar or dissimilar examples of a learning history and stimulates to learn their relationships. To deal with the complexity of knowledge acquisition during learning, we carefully design the components of contrastive learning, such as architectures, data augmentation methods, and hard negatives, taking into account pedagogical rationales. Our extensive experiments on six benchmarks show statistically significant improvements from the previous methods. Further analysis shows how our methods contribute to improving knowledge tracing performances.",
19,10.3390/su142316307,2022,DCKT: A Novel Dual-Centric Learning Model for Knowledge Tracing,"Knowledge tracing (KT), aiming to model learners' mastery of a concept based on their historical learning records, has received extensive attention due to its great potential in realizing personalized learning in intelligent tutoring systems. However, most existing KT methods focus on a single aspect of knowledge or learner, not paying careful attention to the coupling influence of knowledge and learner characteristics. To fill this gap, in this paper, we explore a new paradigm for the KT task by exploiting the coupling influence of knowledge and learner. A novel model called Dual-Centric Knowledge Tracing (DCKT) is proposed to model knowledge states through two joint tasks of knowledge modeling and learner modeling. In particular, we first generate concept embeddings in abundant knowledge structure information via a pretext task (knowledge-centric): unsupervised graph representation learning. Then, we deeply measure learners' prior knowledge the knowledge-enhanced representations and three predefined educational priors for discriminative feature enhancement. Furthermore, we design a forgetting-fusion transformer (learner-centric) to simulate the declining trend of learners' knowledge proficiency over time, representing the common forgetting phenomenon. Extensive experiments were conducted on four public datasets, and the results demonstrate that DCKT could achieve better knowledge tracing results over all datasets via a dual-centric modeling process. Additionally, DCKT can learn meaningful question embeddings automatically without manual annotations. Our work indicates a potential future research direction for personalized learner modeling, which is of both accuracy and high interpretability.",
20,10.1145/3303772.3303830,2019,Deep Knowledge Tracing and Engagement with MOOCs,"MOOCs and online courses have notoriously high attrition [1]. One challenge is that it can be difficult to tell if students fail to complete because of disinterest or because of course difficulty. Utilizing a Deep Knowledge Tracing framework, we account for student engagement by including course interaction covariates. With these, we find that we can predict a student's next item response with over 88% accuracy. Using these predictions, targeted interventions can be offered to students and targeted improvements can be made to courses. In particular, this approach would allow for gating of content until a student has reasonable likelihood of succeeding.",
21,10.1145/3686424.3686454,2024,A Double-layer Stacked Gate Recurrent Unit with Self-Attention Residual Model for Knowledge Tracing,"In recent years, the rapid development of online tutoring systems has significantly increased research interest n the domains of knowledge tracing and deep learning. Knowledge tracing aims to assess learners' understanding of knowledge points by modeling changes in cognitive states over time, discovering latent learning patterns within learners' activities, and providing personalized guidance, thereby facilitating the application of artificial intelligence in educational paradigms. Deep learning, known for its superior feature extraction capabilities, has shown great potential in enhancing the performance of knowledge tracing models, attracting widespread attention. Despite the advancements, current neural network-based knowledge tracing models exhibit potential for further enhancements in efficiency and efficacy. This paper introduces a deep knowledge tracing model that integrates double-layer stacked Gated Recurrent Units (GRU) and self-attention mechanisms. This model opts for a double-layer stacked GRU over traditional Long Short-Term Memory (LSTM) networks to address the overfitting challenges posed by the latter's extensive parameter set, and integrates residual connections to streamline the training process. Additionally, it combines self-attention mechanisms and dilated convolution techniques to extract relational and local features of the learning sequences. Furthermore, the model introduces a StepLR learning rate decay strategy within both Deep Knowledge Tracing (DKT) and Double-layer Stacked Gate Recurrent Unit with Self-Attention Residual Model(SA-DGRU-R), allowing for dynamic adjustment of the learning rate to refine the training dynamics. Experimental results on the Assist2009 and Assist2015 datasets, evaluated using AUC and F1-scores, demonstrate the model's superior performance over other similar recurrent neural network and attention mechanism models. © 2024 Copyright held by the owner/author(s).",
22,10.1109/WAIE57417.2022.00027,2022,Multi-Scaled Attentive Knowledge Tracing,"Learning is a dynamic, complex, and time-series process. Knowledge tracing (KT) aims to simulate learners' learning process by using learners' behavioral performance in past learning activities. In recent years, self-attentive mechanisms have been widely used in KT model. The literature shows that attention-based KT models generally outperform traditional deep knowledge tracing models. In order to simulate the learning process of learners more effectively we propose a new multi-scale attentive knowledge tracing model for KT. Specifically, the model uses multi-scale multi-head attention to capture learner features at different time scales and use them to model learners' learning behaviors. We also use relative position encoding to maintain the consistency of location information across multiple scales of attention. Experiments on real datasets show that our model outperforms state-of-the-art KT methods. © 2022 IEEE.",
23,10.1007/978-3-319-93846-2_65,2018,Deep Knowledge Tracing for Free-Form Student Code Progression,"Knowledge Tracing, and its recent deep learning variants, have made substantial progress in modeling student knowledge acquisition through interactions with coursework. In this paper, we present a modification to Deep Knowledge Tracing to model student progress on coding assignments in large-scale computer science courses. The model takes advantage of the computer science education context by encoding students' iterative attempts on the same problem and allowing free-form code input. We implement a workflow for collecting data from Jupyter Notebooks and suggest future research possibilities for real-time intervention.",
24,10.1109/ICCECT57938.2023.10140232,2023,A Temporal Convolutional Knowledge Tracing Model Integrating Forgetting Factors and Item Response Theory,"As the current mainstream model in the field of knowledge tracking, the deep knowledge tracking model based on RNN has insufficient interpretability, long sequence dependence, gradient disappearance and gradient explosion. Aiming at the above problems, a Temporal Convolutional Knowledge Tracing Model Integrating Forgetting Factors and Item Response Theory(TCKT-FI) was proposed. Firstly, TCN is used to extract the students' knowledge states. Then the exercise embedding vector is obtained, and the relevant weight vector is obtained through calculation. Next combined with the forgetting factors summarized in pedagogy, the knowledge state is forgotten. Finally, the difficulty of the exercises and the students' ability are obtained by using the embedding vector of the exercises and the mastery of the knowledge points, and the probability of the correct answer to the next question is predicted based on the above factors. Comparing the TCKT-FI model with the DKVMN model, CKT model and SAKT model, the results show that the accuracy rate (ACC) and area under the curve (AUC) of the prediction results are significantly improved, and the best effect is increased by about 14 percentage points, and The calculation speed has been improved by 3-6 times.  © 2023 IEEE.",
25,10.1145/3506860.3506870,2022,Enhancing Programming Knowledge Tracing by Interacting Programming Skills and Student Code,"Programming education has received extensive attention in recent years due to the increasing demand for programming ability in almost all industries. Educational institutions have widely employed online judges for programming training, which can help teachers automatically assess programming assignments by executing students' code with test cases. However, a more important teaching process with online judges should be to evaluate how students master each of the programming skills such as strings or pointers, so that teachers may give personalized feedback and help them proceed to the success more efficiently. Previous studies have adopted deep models of knowledge tracing to evaluate a student's mastery level of skills during the interaction with programming exercises. However, existing models generally follow the conventional assumption of knowledge tracing that each programming exercise requires only one skill, whereas in practice a programming exercise usually inspects the comprehensive use of multiple skills. Moreover, the feature of student code is often simply concatenated with other input features without the consideration of its relationship with the inspected programming skills. To bridge the gap, we propose a simple attention-based approach to learn from student code the features reflecting the multiple programming skills inspected by each programming exercise. In particular, we first use a program embedding method to obtain the representations of student code. Then we use the skill embeddings of each programming exercise to query the embeddings of student code and form an aggregated hidden state representing how the inspected skills are used in the student code. We combine the learned hidden state with DKT (Deep Knowledge Tracing), an LSTM (Long Short-Term Memory)-based knowledge tracing model, and show the improvements over baseline model. We point out some possible directions to improve the current work.",
26,10.11916/j.issn.1005-9113.2016.06.005,2016,Advances in educational data mining models and the application of its algorithms,"In order to find an effective way to improve the quality of school management, finding valuable information from students' original data and providing feedback for student management are necessary. Firstly, some new and successful educational data mining models were analyzed and compared. These models have better performance than traditional models (such as Knowledge Tracing Model) in efficiency, comprehensiveness, ease of use, stability and so on. Then, the neural network algorithm was conducted to explore the feasibility of the application of educational data mining in student management, and the results show that it has enough predictive accuracy and reliability to be put into practice. In the end, the possibility and prospect of the application of educational data mining in teaching management system for university students was assessed. © 2016, Harbin Institute of Technology. All right reserved.",
27,10.5281/zenodo.6852966,2022,Does chronology matter? Sequential vs contextual approaches to knowledge tracing,"Deep learning architectures such as RNN and pure-attention based models have shown state-of-the-art performance in modeling student performance, yet the sources of the predictive power of such models remain an open question. In this paper, we investigate the predictive power of aspects of LSTM and pure attention-based architectures that model sequentiality. We design a knowledge tracing model based on a general transformer encoder architecture to explore the predictive power of sequentiality for attention-based models. For the LSTM-based Deep Knowledge Tracing model, we manipulate the state transition coefficient matrix to turn sequential modeling on and off. All models are evaluated on four public tutoring datasets from ASSISTments and Cognitive Tutor. Experimental results show that DKT and pure-attention based models are overall insensitive towards removing major sequential signals by disabling their sequential modeling parts but with the attention-based model about four times more sensitive. Lastly, we shed light on benefits and challenges of sequential modeling in student performance prediction. © 2022 Copyright is held by the author(s).",
28,10.1145/3386527.3406739,2020,Interpretable Personalized Knowledge Tracing and Next Learning Activity Recommendation,"Online learning systems that provide actionable and personalized guidance can help learners make better decisions during learning. Bayesian Knowledge Tracing (BKT) extensions and deep learning based approaches have demonstrated improved mastery prediction accuracy compared to the basic BKT model; however, neither set of models provides actionable guidance on learning activities beyond mastery prediction. We propose a novel framework for personalized knowledge tracing with attention mechanism. Our proposed framework incorporates auxiliary learner attributes into knowledge tracing and interprets mastery prediction with the learning attributes. The proposed approach can also provide personalized next best learning activity recommendations. We demonstrate that the accuracy of the proposed approach in mastery prediction is slightly higher compared to deep learning based approaches and that the proposed approach can provide personalized next best learning activity recommendation. © 2020 ACM.",
29,10.1109/ICDM58522.2023.00165,2023,On the Verification of Embeddings with Hybrid Markov Logic,"The standard approach to verify representations learned by Deep Neural Networks is to use them in specific tasks such as classification or regression, and measure their performance based on accuracy in such tasks. However, in many cases, we would want to verify more complex properties of a learned representation. To do this, we propose a framework based on a probabilistic first-order language, namely, Hybrid Markov Logic Networks (HMLNs) where we specify properties over embeddings mixed with symbolic domain knowledge. We present an approach to learn parameters for the properties within this framework. Further, we develop a verification method to test embeddings in this framework by encoding this task as a Mixed Integer Linear Program for which we can leverage existing state-of-theart solvers. We illustrate verification in Graph Neural Networks, Deep Knowledge Tracing and Intelligent Tutoring Systems to demonstrate the generality of our approach.",
30,10.1007/s11704-023-3008-x,2024,A probabilistic generative model for tracking multi-knowledge concept mastery probability,"Knowledge tracing aims to track students' knowledge status over time to predict students' future performance accurately. In a real environment, teachers expect knowledge tracing models to provide the interpretable result of knowledge status. Markov chain-based knowledge tracing (MCKT) models, such as Bayesian Knowledge Tracing, can track knowledge concept mastery probability over time. However, as the number of tracked knowledge concepts increases, the time complexity of MCKT predicting student performance increases exponentially (also called explaining away problem). When the number of tracked knowledge concepts is large, we cannot utilize MCKT to track knowledge concept mastery probability over time. In addition, the existing MCKT models only consider the relationship between students' knowledge status and problems when modeling students' responses but ignore the relationship between knowledge concepts in the same problem. To address these challenges, we propose an inTerpretable pRobAbilistiC gEnerative moDel (TRACED), which can track students' numerous knowledge concepts mastery probabilities over time. To solve explain away problem, we design long and short-term memory (LSTM)-based networks to approximate the posterior distribution, predict students' future performance, and propose a heuristic algorithm to train LSTMs and probabilistic graphical model jointly. To better model students' exercise responses, we proposed a logarithmic linear model with three interactive strategies, which models students' exercise responses by considering the relationship among students' knowledge status, knowledge concept, and problems. We conduct experiments with four real-world datasets in three knowledge-driven tasks. The experimental results show that TRACED outperforms existing knowledge tracing methods in predicting students' future performance and can learn the relationship among students, knowledge concepts, and problems from students' exercise sequences. We also conduct several case studies. The case studies show that TRACED exhibits excellent interpretability and thus has the potential for personalized automatic feedback in the real-world educational environment.",
31,10.1145/3573051.3596181,2023,A Machine Learning Approach for Understanding the Educational Foci and Technical Solutions of AIED,"This work-in-progress paper employs a machine learning method for the automated analysis of research interests in Artificial Intelligence in Education (AIED) at scale. We aim to analyze the essential techniques and critical educational problems studied by researchers in five AIED-related conferences and journals between 2010 and 2022. We trained and compared different machine learning models and feature extraction techniques to achieve the research objective. After comparing different models and hyperparameter combinations, our classifier achieves an accuracy of 0.87 and Cohen's kappa of 0.80. Based on the classification results, we identified the top 10 most frequent keywords within each category for every four year period over the past 12 years. Using the classifier, the 10,723 keywords from 2,684 articles were classified into three categories: educational foci, technical solutions, and AIED applications. We find that `natural language processing' and `machine learning' are the primary technical keywords in AIED research, and `deep learning' and `artificial intelligence' are the trending technical keywords since 2017. Meanwhile, `massive open online courses', `self-regulated learning', `feedback', `collaborative learning', and `online learning' are the top educational foci in the field over the last 12 years. `Intelligent tutoring systems', `educational data mining', `knowledge tracing', and `learning analytics' continue to receive attention as AIED applications of sustained interest. This study helps to understand the educational foci and technical solutions of AIED research at scale and provides insights into the future of AIED research.",
32,10.1007/978-981-99-8979-9_1,2023,Long-Term and Short-Term Perception in Knowledge Tracing,"Knowledge Tracing (KT) is a fundamental task in contemporary intelligent educational systems, which tracks the knowledge states of the learners based on their response sequences. KT is crucial for the effectiveness of computer-assisted intelligent educational systems, such as intelligent tutoring systems and educational resource recommendation systems. In recent years, KT models benefited from the deep learning approaches and improved dramatically compared with the traditional probabilistic approaches. However, deep learning based KT models also have significant limitations. For example, Recurrent Neural Network (RNN)-based KT models can not capture dependencies in long-term sequences effectively, and attention mechanism-based KT models rely on the positional encoding to perceive sequential information, which may disrupt the semantics of the original embeddings. Moreover, the data sparsity question remains a big challenge in existing KT models. This study is based on the observation that KT shows a stronger sequential dependence in the long term than in the short term. In this paper, we propose a novel KT model called “Long-term and Short-term perception in knowledge tracing (LSKT)”, which uses multilayer perceptrons and attention mechanism to capture the long-term and short-term dependencies, and employs 2PL-IRT based embedding to alleviate the data sparsity question. Extensive experiments on multiple datasets demonstrate the effectiveness of our proposed LSKT model. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd 2023.",
