ID,DOI,Year,Title,Authors,Country,Venue,Input features,Method,dataset,Input features.1,Metrics,Q2,Q3,Q4,Category
16,,2023,Deep Graph Memory Networks for Forgetting-Robust Knowledge Tracing,Ghodai Abdelrahman; Qing Wang; AI Shaafi; S Ahmed; FT Sithil; IEEE,Australia,journal,"question embedding vector (kt), relevance vector (wt), read vector (rt), concept summary vector (ot), forgetting features (Time Lapse and Trials), and previous knowledge state (Mv_t)","Graph Convolutional Networks (GCNs), Key-Value Memory Networks, Attention Memory, Forget Gating Mechanism, and Adam gradient descent optimization algorithm for model training","4 datasets with a total of 9,061 participants: ""ASSISTments2009: 4,151 students, 110 questions, 325,637 exercises; Statics2011: 335 students, 1,362 questions, 190,923 exercises; Synthetic-5: 4,000 students, 50 questions, 200,000 exercises; Kddcup2010: 575 students, 436 questions, 607,026 exercises""","question embedding vector (kt), relevance vector (wt), read vector (rt), concept summary vector (ot), forgetting features (Time Lapse and Trials), and previous knowledge state (Mv_t)","area under the ROC curve (AUC), accuracy (ACC) and cross-entropy loss (Loss)"" and they performed ""statistical significance t-test on the results with p-value = 0.05.""",No,"""We spot two cases that highlight the differences in forgetting modelling over multiple latent concepts considering their mutual relationships and over a single latent concept. """,No,Forgetting-Aware
17,,2024,Deep Knowledge Tracing Incorporating a Hypernetwork With Independent Student and Item Networks,Emiko Tsutsumi; Yiming Guo; Ryo Kinoshita; Maomi Ueno; S Yang; L Guo,Japan,journal,Sequences of questions and asnwers,"Deep-IRT with two independent networks (student and item networks), a novel hypernetwork architecture, DKT (Deep Knowledge Tracing), DKVMN (Dynamic Key-Value Memory Network), SAKT (Self-Attentive Knowledge Tracing), AKT (Attentive Knowledge Tracing)","- ASSISTments2009
- ASSISTments2015
- ASSISTments2017
- Statics2011
- Junyi
- Eedi",Sequences of questions and asnwers,"The evaluation metrics include accuracy (Acc) score, AUC score, and loss score, with loss being represented by cross-entropy.",No,"when a student responds to an item, not only the corresponding skill ability but also those for other skills change. Especially, because the skills of �equation solving more than two steps� (gray) and �equation solving two or few steps� (green) are similar, the ability changes of each skill also indicate a strong correlation. Consequently, the results demonstrate that the proposed method improves the interpretability of Yeung-DI. It is noteworthy that the student�s responses are not immediately reflected in the estimated ability change when the student provides a different response from the previous several continuous same responses. For example, the ability for �finding percents� (yellow) increases in items 18�19 despite incorrect responses because the Proposed-HN estimates the student�s ability with the past responses. Then, the estimated ability values change slightly later when the student provides a different response from the previous several continuous same responses.","Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap",Forgetting-Aware
18,10.1109/ICDMW58026.2022.00046,2022,Deep Knowledge Tracing with Learning Curves,Shanghui Yang; Xin Liu; Hang Su; Mengxia Zhu; Xuesong Lu,China,conference,"embeddings of student-question interactions, text embeddings of questions, and manually-constructed features related to forgetting behavior",three-dimensional convolutional neural networks and capsule networks,"- ASSISTments2009: 4,151 students 
- ASSISTments2015: 19,840 students 
- ASSISTments2017: 1,709 students 
- Statics2011: 333 students","embeddings of student-question interactions, text embeddings of questions, and manually-constructed features related to forgetting behavior",AUC,"The paper addresses the issue of sparse interactions between students and questions, which is a form of data sparsity.

""To bridge this gap, we propose to explicitly model a student's experience on the same knowledge concept with the one covered by the next question, and combine the experience with the student's overall knowledge state to predict her response to the next question. """,No,No,Attentive
19,10.1007/978-981-97-5678-0_17,2024,Deep Knowledge Tracking Integrating Programming Exercise Difficulty and Forgetting Factors,Dongqi Wang; Liping Zhang; Yubo Zhao; Yawen Zhang; Sheng Yan; Min Hou,China,conference,the number of words in the problem description; the number of words in the input format; the number of words in the output format; whether the problem is presented in English; whether the problem is described in a storytelling format; the correct answer rate;,"�This paper leverages GPT-3�s text processing power combined with six factors influencing programming problem difficulty to design an algorithm for analyzing programming problem difficulty.�
""paper represents the learners� answer sequence data in the form of a graph structure and constructs the adjacency matrix",PTADataset with 195 learners,the number of words in the problem description; the number of words in the input format; the number of words in the output format; whether the problem is presented in English; whether the problem is described in a storytelling format; the correct answer rate;,"AUC, ROC, F1",No,"Via heatmaps

""improvements are not uniform, with occasional discontinuities due to factors like question difficulty and forgetting, demonstrating the GKT-DF model�s ability to capture the complexity and diversity of the learning process.""","""To validate whether the introduced features influence changes in learners� knowledge states, this study utilized SHAP (SHapley Additive exPlanations) values to quantify the contributions of the two features to the model output. Therefore, the integration of question difficulty and forgetting factors into the GNN-based model in this study has positively contributed to enhancing the model�s interpret ability.""",Hybrid/Meta
20,,2024,Deep-IRT with a Temporal Convolutional Network for Reflecting Students' Long-Term History of Ability Data,Emiko Tsutsumi; Tetsurou Nishio; Maomi Ueno,Japan,conference,Sequences of questions and asnwers,"Deep-IRT with a Temporal Convolutional Network (TCN), CNN","ASSISTments2009, ASSISTments2017, Statics2011, Junyi, and Eedi",Sequences of questions and asnwers,The metrics for evaluation are AUC score and Accuracy score.,No,"As a result, the estimated ability converges to an extremely high (low) value. By contrast, the proposed method shows that the ability increases gradually as the student answers items correctly by estimating an ability reflecting past ability history data. Therefore, when a student answers an item correctly (or incorrectly), the abilities of the other skills change with the ability of the corresponding skill. In addition, as shown in Fig. 5, each ability fluctuates gradually, reflecting the student�s responses while a student is addressing items in the same skill. However, when the student answers an item in a different skill, the estimated ability value fluctuates considerably. Actually, it is unlikely that the ability of a particular skill changes rapidly. In future work, we expect to improve the estimation accuracy and interpretability of multi-dimensional ability.","Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap",Sequence Modeling
21,10.1109/TLT.2024.3403135,2024,Design and evaluation of Trustworthy Knowledge Tracing Model for Intelligent Tutoring System,Yu Lu; Deliang Wang; Penghe Chen; Zhi Zhang,China,journal,"learner IDs, skill IDs of exercises, and learner response correctness","four deep-learning-based knowledge tracing models (DKT, DKVMN, AKT, and GKT) and apply the local xAI method Deep SHAP to interpret them","For experiment: A total of 67 students from two distinct classes and 51 teachers from local secondary schools were recruited for this study.

Propietary dataset.

For model's evaluaiton: ASSISTment dataset, which contained 682,223 exercise records from 14,657 learners across 100 skills","learner IDs, skill IDs of exercises, and learner response correctness",quantitative data on users' knowledge and trust levels,No,No,"Deep SHAP method, a local xAI approach, to interpret complex KT models",Hybrid/Meta
22,,2024,DF-EGM: Personalised Knowledge Tracing with Dynamic Forgetting and Enhanced Gain Mechanisms,Hongyun Wang; Leilei Shi; ZiXuan Han; Lu Liu; Xiang Sun; Furqan Aziz,China,conference,"student's historical sequence of responses (Xi={x1,x2,_,xi} where xi=(qi,ai)), response time, learning ability (calculated as ""the difference between the rates of correct and incorrect answers""), forgetting-related features (attempt count and time interval), and exercise embedding vectors.","DF-EGM (Dynamic Forgetting and Enhanced Gain Mechanisms), Deep-IRT, CART (Classification and Regression Tree), DKT (Deep Knowledge Tracing), DKVMN (Dynamic Key-Value Memory Networks), SAKT (Self-Attentive Knowledge Tracing), AKT (Attentive Knowledge Tracing)","""ASSIST09 [...] includes 4151 students, 110 different knowledge concepts, and 325637 interaction records""; ""ASSIST12 [...] includes 25300 students, 245 knowledge concepts, and 879500 interaction records""; ""Algebra05 [...] includes 574 students, 437 knowledge concepts, and 809694 interaction records.""","student's historical sequence of responses (Xi={x1,x2,_,xi} where xi=(qi,ai)), response time, learning ability (calculated as ""the difference between the rates of correct and incorrect answers""), forgetting-related features (attempt count and time interval), and exercise embedding vectors.","AUC, ACC",No,"Heatmaps: ""Upon observation, it is found that even though the student
answered incorrectly at time step 9, the mastery of the relevant
knowledge concept can be enhanced through practice""",No,Hybrid/Meta
23,,2021,DiKT: Dichotomous Knowledge Tracing,Seounghun Kim; Woojin Kim; Heeseok Jung; Hyeoncheol Kim,Republic of Korea,conference,Sequences of questions and asnwers,"DKT, DKVMN, and Deep-IRT

Memory-Augmented
Neural Network","ASSISTments2009,
ASSISTments2015, Statics2011, and Synthetic",Sequences of questions and asnwers,"ACC
AUC",No,". In DiKT�s trajectory, the estimated knowledge level decreases for the second and the fourth concept which correctly portrays the student�s learning history.However, the trajectory of DKVMN does not seem to consider the second concept. We believe that DiKT is more sensitive to right and wrong answers of the students due to separating the value memory, while DKT and DKVMN encode the information into a single cell or memory.",No,Sequence Modeling
24,,2024,Discovering Multi-Relational Integration for Knowledge Tracing with Retentive Networks,Linhao Zhou; Shenghua Zhong; Zhijiao Xiao; S Nakamura; T Kawahara,China,conference,Sequences of questions and asnwers,",MLFBKgraph convolutional networks

BKT,DKVMN,DKT,SKVMN,SAKT,KAT,CoKT,MRT-KT","
- ASSIST09
- ASSIST12
- Ednet",Sequences of questions and asnwers,AUC,No,"According to Figure 5, it can be observed that when encountering a new skill, the model initially tends to predict that the student will not answer questions related to that skill correctly (e.g.,__26,__152,__67, etc.). As the model encounters more questions associated with the acquired skill, it tends to believe that the student has mastered the skill and predicts that they will answer related questions correctly. However, the model makes incorrect predictions for __65-related questions, such as __5184 and __5226. This might be because the model combines the information from __5146 and __21729, which have the same skill (one question answered incorrectly and one question answered correctly), leading the model to perceive a low probability of the student answering these questions correctly",No,Forgetting-Aware
25,,2024,DKVMN-KAPS: Dynamic Key-Value Memory Networks Knowledge Tracing With Students' Knowledge-Absorption Ability and Problem-Solving Ability,Wei Zhang; Zhongwei Gong; Peihua Luo; Zhixin Li,China,journal,Sequences of questions and asnwers,"hierarchical convolutional neural network

BKT,DKT,DKVMN,SKVMN,KTMFF,DKT-LCIRT,","ASSIST2015: 
STATICS2011
ASSIST2009",Sequences of questions and asnwers,AUC,No,"The results of the experiment showed that after a student answered a question involving knowledge point 46 and answered it correctly at moments 4 and 7, the student�s mastery level of the knowledge point increased at the next moment. When the student answered the question about Knowledge Point 46 incorrectly at moment 6, the student�s mastery level of the knowledge point decreased at the next moment. After the student correctly answered the questions involving Knowledge Point 46 at moments 16, and 17, the student�s mastery level of Knowledge Point 46 hardly changed because the student practiced Knowledge Point 46 several times, and therefore, the student should be given more time to learn other knowledge points.",No,Memory-Augmented
26,,2024,DKVMN&MRI: A new deep knowledge tracing model based on DKVMN incorporating multi-relational information,Feng Xu; Kang Chen; Maosheng Zhong; Lei Liu; Huizhu Liu; Xianzeng Luo; Lang Zheng,China,journal,Sequences of questions and asnwers,"Attention based DNN with IRT-Rasch model

LSTM layer and learning forgetting mechan","ASSIST 2009 
ASSIST 2015 
ASSIST chall 
EdNet",Sequences of questions and asnwers,"AUC 
ACC",No,"It can be observed that the mastery status of the third knowledge component declined following an incorrect answer to a question at the sixth time step, while the corresponding knowledge component�s mastery status increased following two consecutive correct answers at the 13th and 14th time steps. Therefore, the visualization results demonstrate the validity of the knowledge tracing process.","Does not fully address process-level interpretability
Claim IRT brings interpretability but it is still the heatmap",Graph-Based
