,DOI,Year,Paper title,Authors,Country,Pub. type (confernce/journal),Pub. veune,keywords,objectives,Ethical concerns (anything in the paper discussing the use of ethic frameworks to prepare their data and model),Underlying theories used,Materials and Methods,,,,Evaluation,,RQ2 (data biases): bias-inconsistenc-spars-imbalanc-,Q3 (evaluate the sequential stability),Q4 (interpretability),Limitations,Challenge and future directions,Note
21,,2022,Knowledge interaction enhanced sequential modeling for interpretable learner knowledge diagnosis in intelligent tutoring systems,Wenbin Gan; Yuan Sun; Yi Sun; HG He,Japan,journal,NEUROCOMPUTING,"Deep knowledge tracing, knowledge interaction, cognitive item difficulty, learner performance modeling, intelligent tutoring system",To propose a novel model called Knowledge Interaction-Enhanced Dynamic Learner Knowledge Diagnosis (KIEDLKD) that integrates memory networks with Item Response Theory to dynamically trace learner knowledge proficiency and provide interpretable diagnoses.,no,"Item Response Theory (IRT) as its main educational theory, along with knowledge tracing (KT) theory, cognitive load theory (related to cognitive item difficulty), and learning/forgetting theories.","KIEDLKD (Knowledge Interaction-Enhanced Dynamic LKD), Key-Value Memory Network, Item Response Theory (IRT), Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Network (DKVMN), KTM, MIRT, PFA, LFA","""Algebra0506: 567 learners, 173,113 items, 606,976 interactions; Statics2011: 332 students, 1,223 items, 189,292 interactions; Assist0910: 3,114 learners, 17,708 items, 332,990 interactions; Bridge2Algebra0607: 1,130 learners, 129,263 problems, 1.8 million interactions; Assist1213: 22,591 learners, 52,855 items, 2.7 million interactions""","Math, statistics","""Item embedding (kt), previous items in exercising sequence, item-KC correction vector (wt), knowledge proficiency matrix (MV), knowledge interaction matrix (MI), and cognitive item difficulty (based on learner's previous attempts)."" The paper states: ""The model takes the current item qt and the previously attempted items in the exercising sequence as the input.""","""Before conducting the experiments, we take 30% of the sequences in a dataset as the test set and the other 70% as the training set, and perform a fivefold cross-validation on the training set to find the optimal set of hyperparameters through grid search.""","""area under the ROC curve (AUC), accuracy (ACC) and cross-entropy loss (Loss)""","""To avoid noise, following the existing studies, we also delete users whose interaction entries are less than 10 and with items with NaN skills in all the above mentioned datasets."" They also note data imbalance in the Assist1213 dataset: ""This dataset contains the maximum number of learners and the largest number of interaction entries (i.e., near 2.7 million); however, the average attempted items per user are very low (118.73). The whole correctness for all items is also very low, at 0.6959.""","Heatmaps: ""For example, when the learner answers the first item correctly, the state value of the fifth KC (marked red) underlying this item increases. When the learner obtains incorrect answers for the sixth and seventh items, the state value of the fifth KC gradually decreases. When he attempts the 19th, 31st, and 39th items with the same fifth KC correctly, this value increases again until it shows  that the learner has mastered this KC. """,No ,"""First, the rich relations among the items and KCs in the domain are not fully leveraged... Second, the textual information of items and knowledge concepts are ignored in the current model.""","""In the future, we intend to explore graph-based LKD models by leveraging the rich relations among the items and KCs in the domain, and further improve our model by considering the textual information of items and KCs. We also want to integrate the function of dynamic LKD into existing online learning systems and conduct case studies to verify its effectiveness on learners' learning.""",
22,,2023,Deep Graph Memory Networks for Forgetting-Robust Knowledge Tracing,Ghodai Abdelrahman; Qing Wang; AI Shaafi; S Ahmed; FT Sithil; IEEE,Australia,journal,IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,"Deep graph memory networks, knowledge tracing, forgetting behaviors, concept relationships, attention mechanisms",To propose a novel knowledge tracing model called Deep Graph Memory Networks (DGMN) that incorporates a forget gating mechanism into an attention memory structure to capture forgetting behaviors dynamically and learn relationships between latent concepts from a dynamic concept graph.,no,forgetting curve theory (Ebbinghaus),"Graph Convolutional Networks (GCNs), Key-Value Memory Networks, Attention Memory, Forget Gating Mechanism, and Adam gradient descent optimization algorithm for model training","4 datasets with a total of 9,061 participants: ""ASSISTments2009: 4,151 students, 110 questions, 325,637 exercises; Statics2011: 335 students, 1,362 questions, 190,923 exercises; Synthetic-5: 4,000 students, 50 questions, 200,000 exercises; Kddcup2010: 575 students, 436 questions, 607,026 exercises""",Math,"question embedding vector (kt), relevance vector (wt), read vector (rt), concept summary vector (ot), forgetting features (Time Lapse and Trials), and previous knowledge state (Mv_t)","""For each dataset, we divide it into training and testing sets using a split ratio of (70%, 30%) for training and testing, respectively. We use a 5-fold cross validation strategy in our experiments.""","area under the ROC curve (AUC), accuracy (ACC) and cross-entropy loss (Loss)"" and they performed ""statistical significance t-test on the results with p-value = 0.05.""",No,"""We spot two cases that highlight the differences in forgetting modelling over multiple latent concepts considering their mutual relationships and over a single latent concept. """,No ,"""First, our model assumes that the total number of existent concepts is known in prior as ground truth information...this could be limiting in scenarios where such ground truth is missing."" Also, ""our method has an added computational cost for performing the graph convolution operation"" and ""our model is following an undirected graph approach for capturing the relationships among concepts...it cannot capture prerequisite dependencies among them.""","""we plan to investigate the potential of latent concept graphs for curriculum learning and recommending exercises to students.""",
23,,2021,Federated Deep Knowledge Tracing,Jinze Wu; Zhenya Huang; Qi Liu; Defu Lian; Hao Wang; Enhong Chen; Haiping Ma; Shijin Wang,China,conference,WSDM `21: PROCEEDINGS OF THE 14TH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING,"Federated Learning, Knowledge Tracing, Data Isolation, Data Quality Evaluation, Model Personalization","""In this paper, we propose a novel Federated Deep Knowledge Tracing (FDKT) framework to collectively train high-quality DKT models for multiple silos.""",no,Classical Test Theory (CTT) and Item Response Theory (IRT),"Federated Deep Knowledge Tracing (FDKT) framework with two quality-oriented implementations (FDKTCTT and FDKTIRT), using a client-server architecture with quality-oriented aggregation strategies and hierarchical model interpolation for personalization.","""MATH consists of about 200,000 records of 3,830 students in 7 schools"" and ""ASSIST... we obtain about 800,000 learning records of 7,395 students in 38 schools""",Math,"""the input of DKT, xl ∈ {0, 1}2K is the one-hot encoding of tuple (ql,gl), which represents the combination of which concept of item is answered and whether the item is answered correctly.""","""we randomly partition 90% of students learning records in every school for training, while the remainders are for testing.""","""ROC Curve (AUC), Prediction Accuracy (ACC), and Root Mean Square Error (RMSE)"" plus ""metric 'epoch'"" for efficiency and ""Degree of Agreement (DOA)"" for comparability","""different schools usually have different learning schedules, thus, students isolated may practice inconsistent and unbalanced learning processes"" and notes ""inconsistency between data scales and data quality"" (Section 5.1), which leads to ""Non-IID"" scenarios where ""distributions of data in local silos depend on data owners and are significantly different from the global one""",No,No ,-,"""In the future, we will explore more applications of federated learning in the educational field, extend FDKT to many other KT methods and develop a general platform. Moreover, we hope to explore ways to model item and user characteristics appropriately under federated settings.""",
24,,2023,A novel framework for deep knowledge tracing via gating-controlled forgetting and learning mechanisms,Weizhong Zhao; Jun Xia; Xingpeng Jiang; Tingting He; QQ Zhao; KC Hou; WJ Yuan; XW Zhang; B Hu,China,journal,INFORMATION PROCESSING & MANAGEMENT,"Deep knowledge tracing, forgetting and learning mechanisms, gating-controlled mechanisms, intelligent education, student knowledge modeling",The objective is to propose a novel framework called GFLDKT that explicitly models forgetting and learning behaviors in students' learning process while considering their different backgrounds.,no,"Learning curve theory, Forgetting curve theory","""GFLDKT (Gating-controlled Forgetting and Learning mechanisms for Deep Knowledge Tracing)""","junyiacademy: 238,120 students, 828 knowledge concepts, 26,666,117 responses ASSISTments2015: 19,840 students, 100 knowledge concepts, 683,801 responses ASSISTments2017: 1,709 students, 102 knowledge concepts, 942,816 responses Statics2011: 333 students, 1,223 knowledge concepts, 189,297 responses","Computer Science, Statistics","1) Exercise embedding derived from Q-matrix, 2) Student response data (correct/incorrect), and 3) Current knowledge state","""5-fold cross-validation for all KT models, in which each dataset is split according to students""","""the Area Under the Curve (AUC) and Accuracy (ACC) are used as evaluation metrics in experiments""","""There are two clear limitations for the Q-matrix: (1). it is marked manually and highly subjective, which may contain errors or subjective bias; (2). it is very sparse, which poses a great challenge for training deep learning-based models.""","Heatmap: ""although both 𝑠1 and 𝑠2 provide wrong answers to the exercise 𝑒2 (which is associated with the KC ‘‘Segments and Angles’’), the knowledge state on the KC ‘‘Segments and Angles’’ of 𝑠1 does not change significantly while the mastery of the KC ‘‘Segments and Angles’’ of 𝑠2 decreases clearly. The main reason is that for outstanding students (e.g. 𝑠1), they can even learn knowledge concepts from errors they made. However, for the average students, the negative responses suggest that they need to improve their mastery on certain knowledge concepts.""",No ,-,"""In the future, we plan to explore our model in other online educational applications, such as personalized question recommendation, and personalized learning path recommendation""",
25,,2022,Infusing Expert Knowledge Into a Deep Neural Network Using Attention Mechanism for Personalized Learning Environments,Ange Tato; Roger Nkambou; ZJ Liu; X Li; CY Guo,Canada,journal,FRONTIERS IN ARTIFICIAL IN℡LIGENCE,"Deep learning, expert knowledge, attention mechanism, personalized learning, user modeling","to propose a hybrid architecture combining deep neural networks with expert knowledge using attention mechanisms to improve personalization in educational systems, particularly addressing the problem of imbalanced datasets.",no,"Kohlberg's theory of moral development, Learning curve theory, Forgetting curve theory","LSTM (Long Short-Term Memory), CNN (Convolutional Neural Networks), and attention mechanisms to create a hybrid architecture that incorporates expert knowledge (from Bayesian Networks and other sources) into deep neural networks.","For Logic-Muse, there were 294 participants who completed 48 logical reasoning exercises. For MorALERT, they used a dataset of 731 verbatim (written in French) manually annotated by experts.","Logical reasoning skills, Socio-moral reasoning skills","For Logic-Muse, the model used ""one-hot encoding to convert student performance into a fixed length of vectors whose all elements are 0 except for a single 1. The single 1 in the vector indicates two things: which skill was answered and if the skill was answered correctly."" For MorALERT, the model used ""verbatims that have been pre-processed (tokenization, text to sequence, etc.) and vectored.""","""conduct 5-fold cross-validation for all KT models, in which each dataset is split according to students""","accuracy, F1-score, precision, and recall.","""Machine learning models are biased toward data seen during the training steps. The models will tend to give good results in classes where there are many examples and poor results in those with few examples. This problem generally occurs when the classes to predict are imbalanced and this is frequent in educational data""

""...for skills that are easy to master which means the rare occurrence of incorrect answers, the model will also fail to accurately predict the student's knowledge. ""","Heatmap: ""when a student gives correct answers to a skill k, the DKT does not sometimes update the current state of knowledge on that skill (the skill stays low or is updated very slowly). """,No,-,"""We will do further experiments on the integration of expert knowledge into neural network architectures. We also plan to test our techniques on a larger and or public dataset""",
26,,2023,Exploiting multiple question factors for knowledge tracing,Yan Zhao; Huifang Ma; Wentao Wang; Weiwei Gao; Fanyi Yang; Xiangchun He,China,journal,Expert Systems with Applications,"Knowledge Tracing, Question Factors, Response Representation, Question Difficulty Level, Intelligent Education",to propose a novel Multiple Question Factors for Knowledge Tracing (MQFKT) method that fully exploits various question factors to generate better prediction of student performance.,no,Multidimensional Item Response Theory (MIRT),Multiple Question Factors for Knowledge Tracing (MQFKT) method; Adam optimization algorithm; cross-entropy loss function,"assist09: 4,163 students, 17,746 questions, 123 concepts, 278,868 response records ASSISTchall: 1,709 students, 2,210 questions, 101 concepts, 351,820 response records EdNet-KT1: 5,000 students, 12,081 questions, 189 concepts, 632,230 response records",English,"1) Student-question answer space (student responses to questions), 2) Question-concept association space (which concepts are involved in questions), 3) Knowledge state representations, and 4) Question factors including difficulty level and discrimination.","""5-fold cross-validation for all models. Specifically, for each fold, we split 80% of the learning history as the training set as well as validation set (their ratio is 8:2), and the rest as the testing set""",Accuracy (ACC) and Area Under the ROC Curve (AUC) with t-tests to establish statistical significance (p-value < 0.05),"""Avoiding properly the curse of dimensionality and enormous sparsity and excavating adequately the question infor- mation contained in interactions between student-question answer space and question-concept association space.""","Heatmap: ""For instance,response representation of q6485 and q6527 share the highest weight sincethey own the same concepts (i.e., Prime Number). Furthermore, therelevant weight between q14750 and q8779 is also high, which can bepostulated that q14750 is more difficult than q8779. Therefore, the formeris answered correctly due to students’ guessing while the latter isresponded incorrectly because of students’ slipping. This results in asmaller difference and a larger correlation weight between corre-sponding response representations of two questions.""",No,"""This method solely considers the question factors and fails to take advantage of the student factors,"" and 2) ""We simply construct interactions between students and questions without incorporating the complex pedagogical and psychological theories.""","introducing ""various student factors such as the common phenomenon of forgetting and the answer time"" and utilizing ""self-supervised signals in contrastive learning.""",
27,,2022,AdaptKT: A Domain Adaptable Method for Knowledge Tracing,Song Cheng; Qi Liu; Enhong Chen; Kai Zhang; Zhenya Huang; Yu Yin; Xiaoqing Huang; Yu Su,China,conference,WSDM'22: PROCEEDINGS OF THE FIFTEENTH ACM INTERNATIONAL CONFERENCE ON WEB SEARCH AND DATA MINING,"domain adaptation, knowledge tracing, deep learning",to propose an adaptable knowledge tracing framework (AKT) that can achieve great knowledge tracing performance in each domain and effectively transfer knowledge tracing models between different educational domains.,no,Item Response Theory,"Adaptable Knowledge Tracing (AdaptKT) with Bi-directional LSTM, LSTM, Maximum Mean Discrepancy (MMD), Deep Knowledge Tracing (DKT), Dynamic Key-Value Memory Networks (DKVMN), and Word2Vec.","The paper used two private datasets (zx.math with 5,000 students and zx.physics with 5,000 students) and seven public datasets (Synthetic, Static2011, Kddcup2010, Junyi, ASSISTments2009, ASSISTments2015, ASSISTments2017) with students ranging from 333 to 50,000 across datasets",mathematics and physics,"question texts processed through an auto-encoder, student interaction sequences, student response data (rt), and slipping and guessing factors derived from question semantics.","""For the non-simulated data, we evaluate our results using 5-fold cross validation and in all cases, hyper-parameters are learned on training data""","""area under the receiver operating characteristic (ROC) curve which is termed as AUC"" and ""F1 measure""","""To address the problem of lacking sufficient data, transfer learning technique [42, 43] develops fastly and has been widely applied in many areas [9, 13, 21]. The goal of the developed models is to transfer the latent representations obtained from a large labeled source dataset to a smaller unlabeled target dataset. Domain adaptation is a branch of transfer learning. One of the research directions of domain adaptation focuses on minimizing the discrepancy of certain feature distributions between the source and target domain. ""","Heatmaps: ""First, comparing the non-transferring and transferring results in each heatmap, we can easily see that the transferred result is more stable and the change is not dramatic, especially at the end, student’s knowledge state has no changes since he answers these questions correctly. """,No,"""AKT is sensitive to the hyper-parameters λ and γ, how to model more reasonably, so that no need to manually set the λ and γ parameters is a problem worth studying""","""the modeling process of slipping and guessing can be well designed in the future for more interpretable.""",
28,,2023,Dynamic Cognitive Diagnosis: An Educational Priors-Enhanced Deep Knowledge Tracing Perspective,Fei Wang; Zhenya Huang; Qi Liu; Enhong Chen; Yu Yin; Jianhui Ma; Shijin Wang,China,journal,IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,"Cognitive diagnosis, deep learning, intelligent tutoring systems, knowledge tracing, personalized e-learning","to propose dynamic cognitive diagnosis, which integrates the interpretability of educational priors from cognitive diagnosis into deep learning-based knowledge tracing methods to enhance both interpretability and prediction accuracy.",no,"educational theories from psychometrics including Item Response Theory (IRT), Multidimensional Item Response Theory (MIRT), Deterministic Input Noisy-And Model (DINA), Cognitive Diagnosis Models, and the Monotonicity Assumption which states that ""when a student's ability (knowledge proficiency) improves, the probability of correctly answering a question would not drop.""","Bayesian Knowledge Tracing (BKT), Deep Knowledge Tracing (DKT), NeuralCDM, Item Response Theory (IRT), Dynamic Cognitive Diagnosis Models (DIRT and DNeuralCDM)","ASSIST2009 (3,079 students, 17,671 questions, 271,468 records), ASSIST2012 (24,768 students, 32,111 questions, 2,460,433 records), and KDDCup (9,571 students, 129,240 questions, 1,816,860 records).",Math,"question attributes (Question ID, Knowledge Component ID, question difficulty, question discrimination), student response sequences (correct/incorrect), and combinations of these features",selecting 80% of the preprocessed response sequences for training and the remaining 20% for testing.,"Area Under Curve (AUC), Accuracy, Degree of Agreement (DOA), Partial Degree of Agreement (PDOA), and Pearson Correlation Coefficient (PCC).","""When there is a nonnegligible sparsity problem with the questions, models having knowledge component information as input (DKVMN, DKT_KC, and DKT_MLP) have better performance than DKT_Q, which is unaware of the knowledge components."" They addressed this by incorporating knowledge component information and preprocessing data by removing questions with fewer than 15 responses.

""Among the deep knowledge tracing models, when there is a nonnegligible sparsity problem with the questions, models having knowledge component information as input (DKVMN, DKT_KC, and DKT_MLP) have better performance than DKT_Q, which is unaware of the knowledge components.""","Heatmap: ""We can observe that when the student gives a correct
(incorrect) answer, DNeuralCDM_2 tends to increase (decrease)
its diagnosed proficiency on a related KC. The lower part (1 ×
30 grid) of the figure shows the changing ability diagnosed by
DIRT_2. We can further observe that when the student gives
a correct (incorrect) answer, DIRT_2 increases (decreases) its
diagnosed overall ability.""",No,"""The main limitation of this work is that we only study the educational priors from two cognitive diagnosis methods"" and ""we do not pay attention to the interpretation of the sequential modeling module."", 
""tradeoff between accuracy and interpretability.""","""additional educational priors (other than the question attributes and interaction functions from IRT and NeuralCDM) can be taken into consideration"" and ""the sequential modeling module needs further improvement""",
29,,2022,Modeling knowledge proficiency using multi-hierarchical capsule graph neural network,Zeyu He; Wang Li; Yonghong Yan,China,journal,APPLIED IN℡LIGENCE,Knowledge Tracing · Graph neural network · Capsule network · Learning sciences,to develop a novel multi‐hierarchical capsule graph neural network (Caps‐HAGKT) that automatically captures rich semantic relationships in complex background knowledge to improve both prediction accuracy and interpretability in knowledge tracking,no,Bayesian Knowledge Tracing (BKT) and Item Response Theory (IRT),"Caps-HAGKT (multi-hierarchical capsule graph neural network), CapsNN (capsule neural network), Capsule routing","Synthetic-5 (4,000 virtual students, 200K interactions), ASSIST2009 (4,417 students, 325K interactions), ASSIST2015 (19,840 students, 683K interactions), ASSIST2017 (686 students, 942K interactions), Statics2011 (333 students, 189K interactions), and one private business dataset",Math,"question–response tuples, textual representations of questions and concept tags obtained via BERT, and location information encoded using one-hot vectors","All data is divided into 3 parts, 70% of the historical interaction records are used for training, and 20% of the data is used as a test for selecting the best model architecture... The remaining 10% data is used to verify the effectiveness of the model."" ",ROC (AUC),"""Sparse curriculum problem: It exacerbates the uneven distribution of interactions."" The authors note: ""in the case of the problem of sparse curriculum, Caps-HAGKT provides the relational inductive biases by using graph-structure data, which helps to enhance the ability of inductive speculation on future performance."" They provide density metrics for each dataset and show how their approach helps with ""alleviating the problem of sparse courses.""","Heatmap: ""The evolution process of knowledge shown by the new model is smooth and free of oscillation. For example, in the continuous wrong answers (31 to 34) and the continuous right answers (3 to 7), the change in the knowledge level of the student is continuous and reasonable""",No,-,"""In future, we will study: 1) Although we use text to help extract the latent knowledge structure, the course tags and hierarchical knowledge structure expressed in short texts are still difficult to use. 2) When the expert's predefinition is not used, automatic modeling of the complex knowledge structure... is insufficient... 3) Our model does not consider the important impact of forgetting behavior and contextual time interval... 4) Need to optimize the routing strategy to reduce the amount of parameters and computational overhead.""",
30,,2023,Monitoring Student Progress for Learning Process-Consistent Knowledge Tracing,Shuanghong Shen; Enhong Chen; Qi Liu; Zhenya Huang; Wei Huang; Yu Yin; Yu Su; Shijin Wang,China,journal,IEEE Transactions on Knowledge and Data Engineering,"Educational data mining, knowledge tracing, student progress, learning process, learning gain, forgetting effect","""In this paper, we explore a new paradigm for the KT task and propose a novel model named Learning Process-consistent Knowledge Tracing (LPKT), which captures the evolution of students' knowledge state through monitoring their learning progress.""",no,Ebbinghaus forgetting curve theory,"Learning Process-consistent Knowledge Tracing (LPKT) which models student progress through learning gain modules, forgetting modules, and predicting modules, and LPKT-S which extends LPKT by considering student-specific progress rates.","""ASSIST2012 with 29,018 students, ASSISTchall with 1,709 students, and EdNet-KT1 (10% subset) with 78,431 students""",Math,"""Input features for the models include: exercise embeddings, answer time (how long students spent answering), answer correctness (binary: correct/incorrect), interval time between learning interactions, knowledge concepts (via Q-matrix), and student embeddings (for LPKT-S model only)""","""For all datasets, we performed standard 5-fold cross-validation for all models. Thus, for each fold, 80% of the students were split as the training set (80%) and validation set (20%), the rest 20% were used as the testing set""","""Root Mean Square Error (RMSE), the square of Pearson correlation (r²), Area Under ROC Curve (AUC), and Accuracy (ACC)""","The paper addresses subjective bias in the manually-labeled Q-matrix and proposes an enhanced Q-matrix to mitigate these biases.

""However, manually-labeled Q-matrix may be deficient because of inevitable errors and subjective bias. In order to make up for possible omissions or mistakes, we define an enhanced Q-matrix""","Heatmap: ""our pro- posed model can capture students’ learning progress from both wrong and right learning interactions. For example, even the student answered exercise e2, e3, e4, and e8 wrongly, LPKT thinks his/her knowledge state on related knowledge concepts (i.e., 70: Square Root and 89: Ordering Fractions) can also get promotion. After wrongly answering exercise e12, we note that LPKT-S thinks that his/her knowl- edge state will decrease.""",No,-,"""In the future, we will continue to explore better ways to measure students' learning progress. For example, we may use the feedback of both instructors and students about their learning process. We can also explore potential constraints in the objective function that help model learning progress. Besides, to measure more fine-grained student progress rates, we will consider assessing the progress rate on the knowledge concept level.""","students can consistently acquire knowledge as long as they have practiced, whether the answer is correct or not"
31,,2022,SPAKT: A Self-Supervised Pre-TrAining Method for Knowledge Tracing,Yuling Ma; Peng Han; Huiyan Qiao; Chaoran Cui; Yilong Yin; Dehu Yu; AS García,China,journal,IEEE ACCESS,"Knowledge tracing, student performance prediction, self-supervised learning, bidirectional encoder representation from transformers (BERT).","propose a novel pre-training approach, namely as SPAKT, and utilize self-supervised learning to pre-train exercise embedding representation without the need for expensive human-expert annotations in this paper",no,implicitly references learning theories related to the forgetting curve,"three BERT-based self-attention modules to model exercise-exercise (E-E), skill-skill (S-S), and exercise-skill (E-S) relationships through a masked prediction mechanism and a self-supervised difficulty prediction task.","ASSIST2009 (4,151 students, 16,891 exercises, 101 skills, 283,104 interactions), ASSIST2012 (28,834 students, 50,983 exercises, 198 skills, 2,629,870 interactions), and EdNet (5,000 students, 12,368 exercises, 188 skills, 8,155,706 interactions)",Math,"exercise IDs, skill IDs, and the model uses exercise difficulty level (calculated from student performance data) as self-supervised information.",five-fold cross-validation,AUC,No,"Heatmap: ""SPAKT can learn the
relationship between exercises and skills, to a certain extent.
Take the exercise No.1361 as an example, the predicted skill
No.6 is obviously owning the higher probability compared
with other predicted skills, and it happens to be the real label
of the exercise No.1361. Similar findings can be obtained
from other four exercises.""",No,-,-,
32,,2024,Adaptive meta-knowledge dictionary learning for incremental knowledge tracing,Huan Dai; Yupei Zhang; Yue Yun; Rui An; Wenxin Zhang; Xuequn Shang,China,journal,ENGINEERING APPLICATIONS OF ARTIFICIAL IN℡LIGENCE,Online dictionary learning Markovian data Student modeling Incremental knowledge tracing Student performance prediction Knowledge graph construction,"propose a dynamic tracing method to track students' knowledge changes, a new online learning-based model, named Online Meta-knowledge Dictionary Learning (OMDL)",no,Item Response Theory,"Online Meta-knowledge Dictionary Learning (OMDL), Alternating Direction Method of Multipliers (ADMM)","The study used six datasets:Synthetic data: ""30 students and 30 items with 5 expert concepts"" (Section 4.3)ASSISTment2009: ""4,151 students who answered 325,637 exercises along with 123 distinct exercise tags"" (Section 4.1)ASSISTment2015: ""19,840 students who answered 683,801 exercises"" (Section 4.1)Junyi Academy: ""247,606 students collected over two years"" (Section 4.1)Ednet-KT1: ""840,473 students"" (Section 4.1)University dataset: ""39 students who answered 14 multiple-choice questions and six fill-in-the-blank questions"" (Section 4.6)","Math, English, Programming, General education",Students' responses to items (correct/incorrect answers) Items (questions) and their associated knowledge concepts Temporal information (time periods),"The authors divided student response data into five time periods (T1-T5) and evaluated model performance in two ways:  ""Only use the data of the current period Ti"" (Section 4.4) ""Use all data up to the present time period T1, T2, ..., Ti"" (Section 4.4)  This represents a temporal validation approach rather than traditional cross-validation, aligning with the sequential nature of knowledge tracing.",prediction accuracy,"OMDL proposes tracing regularization terms to constrain sparse coding, leading to student learning representing more stability.","Suppose the color of the student’s knowledge state in each period
is darker in Figure (a), and the knowledge increment curve of the
student in Figure (b) is smooth. In that case, we believe this student
has mastered the current knowledge concept and can further learn
more difficult concepts.",No,"""The assumption that the student learning process is a first-order Markov process discretizes the learning process to simplify modeling. However, in reality, the learning process is continuous"" ""The OMDL method does not consider the interrelation between knowledge concepts and psychological factors such as forgetting""","""In future work, incorporating the association graph of knowledge points will be considered"" ""Incorporating learners' psychological characteristics into the model"" ""Build our online learning platform and collect more detailed learning process information""",actual model is not deep learning
33,,2023,GraphCA: Learning from Graph Counterfactual Augmentation for Knowledge Tracing,Xinhua Wang; Shasha Zhao; Lei Guo; Lei Zhu; Chaoran Cui; Liancheng Xu,China,journal,IEEE-CAA JOURNAL OF AUTOMATICA SINICA,"Contrastive learning, counterfactual representation, graph neural network, knowledge tracing","propose a graph counterfactual augmentation method for knowledge tracing. Concretely, to consider the multiple relation- ships among different entities, we first uniform students, ques- tions, and concepts in graphs, and then leverage a heterogeneous graph convolutional network to conduct representation learning.",no,"Cognitive Diagnosis Models (CDMs), Bayesian Knowledge Tracing (BKT), Item Response Theory (IRT)","GraphCA (Graph Counterfactual Augmentation), Graph Convolutional Network (GCN), Contrastive Learning, InfoNCE, Cross-Entropy Loss","assist2009: ""This dataset has 3241 students, 17,709 questions, 124 concepts, and 278,868 records."" (from Section IV-B) ASSIST2012: ""This dataset has 29,018 students, 53,086 questions, 265 concepts, and 2,711,602 records."" (from Section IV-B) Bridge Algebra2006: ""This dataset has 1130 students, 129,263 questions, 550 concepts, and 1,817,393 records."" (from Section IV-B)",Math,Student information (student nodes) Question information (question nodes) Concept information (concept nodes) Student-question relationships (whether students answered questions correctly) Question-concept relationships (which concepts are covered by which questions),80% of the data as the training set and 20% of the data as the test set,"AUC, ACC","""To alleviate the inherent data sparsity issue in the knowledge tracing task, we resort to the modeling of the counterfactual world, which not only contains observed data but also unobserved data.""

""result demonstrates the effectiveness of our counterfactual graph and the contrastive learning method in alleviating the data sparsity issue""","Heatmap: ""The student’s knowledge state showing his mastery of knowl-
edge concepts is presented in Fig. 9, from which we can
observe that by answering fewer questions, we cannot capture
the significant change in his/her mastery of the concepts.""",No,"""Additionally, we find that our method cannot do well for the students with only a few learning interactions. This is mainly because we represent students by their interacted questions in the graph, and when there are only a few records, these questions are not enough to accurately express a student's knowledge state.""","""In the future, we would like to consider different strategies for counterfactual transformation (e.g., changing the number of original student answers) to implement the operations from multiple levels. Otherwise, there might be some more efficient way to obtain negative samples in the contrastive learning process. We also notice that some theories (e.g., learning ability) may affect the results of the KT.""",
34,,2024,Enhanced Knowledge Tracing With Learnable Filter,Fulan Qian; Yetong Hu; Guangyao Li; Jie Chen; Shijin Wang; Shu Zhao; K Mattarozzi,China,journal,IEEE TRANSACTIONS ON COMPUTATIONAL SOCIAL SYSTEMS,"Attention mechanism, denoising, filtering algo- rithm, knowledge tracing (KT)","""introduce a new model called filter knowledge tracing (FKT). This innovative model incorporates a learnable filter into KT to filter out noise information from students' exercise sequences.""",no,"IRT, forgetting effects","Filter Knowledge Tracing (FKT) model, Learnable filter, Attention module, LSTM (Long Short-Term Memory) networks, Filtering algorithms for denoising","""ASSISTments2009: 4,151 students, 110 KSs, 325,637 Responses ASSISTments2012: 46,674 students, 265 KSs, 6,123,273 Responses ASSISTments2015: 19,840 students, 100 KSs, 683,801 Responses ASSISTments2017: 1,709 students, 102 KSs, 942,816 Responses""",Math,skills and responses,""" five-fold cross-validation on all datasets, where the train set, validation set, and test set are split in a 3:1:1 ratio for each fold.""",AUC,No,"""compared to the continuous correct answers from
the 15th time step onwards, the color after the 23rd time step
is lighter, indirectly indicating that different hidden knowledge
states at different times from the current moment have varying
impacts on the current knowledge state.""",-,"""Fourier Transform converts data from the time domain to the frequency domain, which can smooth out subtle variations in time series data. This can lead to difficulties in capturing the nuances of students' learning behaviors.""",""" combining the filtering algorithm with contrastive learning. Furthermore, incorporating supplementary information to mitigate the impact of noise on model performance presents another promising avenue for future research.""",
