DOI,Year,Title,Ciatations count,Comment,Ektrna's evaluation,Daniel's evaluation,Notes,Column 1
10.1145/3539618.3592073,2023,Towards Robust Knowledge Tracing Models via <i>k</i>-Sparse Attention,0,,0,,EC5,
10.1007/978-3-031-64302-6_18,2024,Deep-IRT with a Temporal Convolutional Network for Reflecting Students' Long-Term History of Ability Data,0,,0,,EC6,
10.1016/j.eswa.2024.124933,2024,Explore Bayesian analysis in Cognitive-aware Key-Value Memory Networks for knowledge tracing in online learning,0,,1,,,
10.1109/TNNLS.2024.3386810,2024,Dual-Channel Adaptive Scale Hypergraph Encoders With Cross-View Contrastive Learning for Knowledge Tracing,0,,0,,EC6,
10.1145/3589340,2024,MAN: Memory-augmented Attentive Networks for Deep Learning-based Knowledge Tracing,0,,0,,EC6,
10.1109/ISCMI56532.2022.10068443,2022,Proficiency Prediction System for Online Learning Based on Recurrent Neural Networks,0,,0,,EC5,
10.1007/978-3-031-63031-6_10,2024,MonaCoBERT: Monotonic Attention Based ConvBERT for Knowledge Tracing,0,,1,,,
10.1016/j.eswa.2024.124451,2024,Meta-path structured graph pre-training for improving knowledge tracing in intelligent tutoring,0,,1,,,
10.1109/TLT.2023.3336240,2024,OPKT: Enhancing Knowledge Tracing With Optimized Pretraining Mechanisms in Intelligent Tutoring,0,,0,,EC6,
10.1109/TLT.2023.3346671,2024,Deep Knowledge Tracing Incorporating a Hypernetwork With Independent Student and Item Networks,0,,1,,,
10.1109/TLT.2024.3386750,2024,CoSKT: A Collaborative Self-Supervised Learning Method for Knowledge Tracing,0,,0,,EC6,
10.1007/978-3-031-64302-6_13,2024,Knowledge Tracing as Language Processing: A Large-Scale Autoregressive Paradigm,0,,0,,EC6,
10.1007/978-3-031-64302-6_7,2024,Knowledge Tracing Unplugged: From Data Collection to Model Deployment,0,,0,,EC4,
10.1371/journal.pone.0301714,2024,GELT: A graph embeddings based lite-transformer for knowledge tracing,0,,1,,,
10.1007/978-981-97-5678-0_17,2024,Deep Knowledge Tracking Integrating Programming Exercise Difficulty and Forgetting Factors,0,,1,,,
10.1371/journal.pone.0312022,2024,DKVMN&MRI: A new deep knowledge tracing model based on DKVMN incorporating multi-relational information,0,,1,,,
10.1109/DDCLS58216.2023.10167354,2023,Deep Knowledge Tracing Model with an Evolved Transformer Structure,0,,0,,EC5,
10.48550/arXiv.2206.11460,2022,PYKT: A Python Library to Benchmark Deep Learning based Knowledge Tracing Models,0,,0,,EC6,
10.1016/j.knosys.2024.112375,2024,An efficient state-aware Coarse-Fine-Grained model for Knowledge Tracing,0,,1,,,
10.1007/978-3-031-20862-1_26,2022,APGKT: Exploiting Associative Path on Skills Graph for Knowledge Tracing,0,,0,,EC6,
10.1038/s41598-022-22539-9,2022,Embedding cognitive framework with self-attention for interpretable knowledge tracing,0,,0,,EC6,
10.1109/TE.2024.3448532,2024,Knowledge Tracing Through Enhanced Questions and Directed Learning Interaction Based on Multigraph Embeddings in Intelligent Tutoring Systems,0,,0,,EC6,
10.1007/s12559-024-10341-w,2024,Enhanced Dynamic Key-Value Memory Networks for Personalized Student Modeling and Learning Ability Classification,0,,0,,EC6,
10.3390/app13095220,2023,Knowledge Tracing Model and Student Profile Based on Clustering-Neural-Network,0,,0,,EC6,
10.1016/j.eswa.2023.121637,2024,Global and local neural cognitive modeling for student performance prediction,0,,0,,EC6,
10.48550/arXiv.2302.06885,2023,Improving Interpretability of Deep Sequential Knowledge Tracing Models with Question-centric Cognitive Representations,0,,1,,,
10.48550/arXiv.2310.01180,2023,Evolutionary Neural Architecture Search for Transformer in Knowledge Tracing,0,,0,,EC6,
10.48550/arXiv.2204.14006,2022,No Task Left Behind: Multi-Task Learning of Knowledge Tracing and Option Tracing for Better Student Assessment,0,,0,,EC6,
10.1007/s10639-023-12334-y,2024,Temporal learner modelling through integration of neural and symbolic architectures,0,,1,,,
10.1109/TLT.2023.3326449,2024,Contrastive Personalized Exercise Recommendation With Reinforcement Learning,0,,0,,EC6,
10.1137/1.9781611978032.43,2024,Graph-based Student Knowledge Profile for Online Intelligent Education,0,,0,,EC6,
10.1109/TLT.2023.3301011,2024,Multivariate Knowledge Tracking Based on Graph Neural Network in ASSISTments,0,,0,,EC6,
10.2298/CSIS220706024Y,2023,Personalization Exercise Recommendation Framework based on Knowledge Concept Graph,0,,0,,EC6,
10.1109/ICDM58522.2023.00165,2023,On the Verification of Embeddings with Hybrid Markov Logic,0,,0,,EC5,
10.1016/j.knosys.2024.112431,2024,Personalized process-type learning path recommendation based on process mining and deep knowledge tracing,0,,0,,EC6,
10.1109/ICBK50248.2020.00096,2020,Neural Attentive Knowledge Tracing Model for Student Performance Prediction,0,,0,,EC6,
10.1142/S0219649224500400,2024,Student Psychology Teaching Learning Optimisation-Based Deep Long Short-Term Memory for Predicting Student Performance,0,no full text available,0,,EC5,
10.1007/978-981-97-7244-5_18,2024,Data Augmentation for Knowledge Tracing Based on Variational AutoEncoder and Efficient Network Reusing,0,,0,,EC6,
10.48550/arXiv.2303.01042,2023,Reinforcement Learning Guided Multi-Objective Exam Paper Generation,0,,0,,EC6,
10.1145/3617828,2024,Heterogeneous Evolution Network Embedding with Temporal Extension for Intelligent Tutoring Systems,0,,1,,,
10.3389/fpsyg.2022.846621,2022,A Knowledge Query Network Model Based on Rasch Model Embedding for Personalized Online Learning,0,,1,,,
10.1109/TKDE.2022.3233046,2023,ExamGAN and Twin-ExamGAN for Exam Script Generation,0,,0,,EC6,
https://doi.org/10.1016/j.eswa.2021.114935,2021,A Hierarchical Memory Network for Knowledge Tracing,0,,0,,EC6,
https://doi.org/10.1016/j.procs.2023.10.107,2023,A student modeling method combining Deep Learning and forgetting models with Knowledge Tracing,0,,0,,EC6,
https://doi.org/10.1016/j.procs.2024.09.399,2024,ACKT : Self-Attentive Convolutional Model for Knowledge Tracing,0,,0,,EC6,
10.1109/ICIET60671.2024.10542821,2024,Graph Attention-Enhanced Knowledge Tracing: Unveiling Exercise Variability and Long-Term Dependencies,0,,0,,EC5,
10.1109/ICEIT61397.2024.10540839,2024,Knowledge Tracing Based Wheel Spinning Detection Model in Intelligent Tutoring Systems,0,,0,,EC5,
10.1016/j.neunet.2024.106495,2024,Model-agnostic counterfactual reasoning for identifying and mitigating answer bias in knowledge tracing,0,,1,,,
10.1109/IJCNN60899.2024.10651418,2024,Self-KT: Self-attentive Knowledge Tracing with Feature Fusion Pre-training in Online Education,0,,0,,EC6,
10.1109/IJCNN60899.2024.10650226,2024,Attention-Based Difficulty Feature Enhancement for Knowledge Tracing,0,,0,,EC6,
10.1109/EEBDA60612.2024.10486040,2024,Knowledge Tracing with Soft Labels Via Knowledge Distillation and IRT-Based Modeling,0,,0,,EC5,
10.26555/ijain.v10i1.1136,2024,Enhanced personalized learning exercise question recommendation model based on knowledge tracing,0,,0,,EC6,
10.5281/zenodo.11235602,2024,Supercharging BKT with Multidimensional Generalizable IRT and Skill Discovery,0,,0,,EC6,
10.1109/CCWC60891.2024.10427645,2024,Hypergraph Transformer for Knowledge Tracing,0,,0,,EC5,
10.1145/3637528.3671853,2024,Leveraging Pedagogical Theories to Understand Student Learning Process with Graph-based Reasonable Knowledge Tracing,0,,1,,,
10.1007/s11042-024-19976-1,2024,Attention model based on one-dimensional residual convolutional autoencoder and GRU for knowledge tracing,0,,0,,EC6,
10.1109/ICASSP48485.2024.10446887,2024,CONTRASTIVE LEARNING WITH BIDIRECTIONAL TRANSFORMERS FOR KNOWLEDGE TRACING,0,,0,,EC5,
10.1145/3664647.3681049,2024,Remembering is Not Applying: Interpretable Knowledge Tracing for Problem-solving Processes,0,,0,,EC6,
10.1145/3589334.3645373,2024,Interpretable Knowledge Tracing with Multiscale State Representation,0,,1,,,
10.3233/JIFS-232189,2024,Integrating learning factors and Bayesian network for interpretable knowledge tracing,0,,0,,RETRACTED,
10.1007/978-981-96-0116-5_34,2025,Enhanced Knowledge Tracing via Frequency Integration and Order Sensitivity,0,,1,,,
10.1145/3686424.3686454,2024,A Double-layer Stacked Gate Recurrent Unit with Self-Attention Residual Model for Knowledge Tracing,0,,0,,EC5,
10.1109/IATMSI60426.2024.10503187,2024,AI Tutor Enhanced with Prompt Engineering and Deep Knowledge Tracing,0,,0,,EC5,
10.1007/978-981-99-9640-7_34,2024,Personalized Learning Made Simple: A Deep Knowledge Tracing Model for Individual Cognitive Development,0,,0,,EC6,
10.1007/s00521-024-10011-w,2024,A study of progressive data flow knowledge tracing based on reconstructed attention mechanism,0,,0,,EC6,
10.1109/ICAIIC60209.2024.10463517,2024,Multi-Task Transformer with LSTM Model for Question Set Generation,0,,0,,EC5,
10.1109/TCSS.2024.3406048,2024,CeKT: Knowledge Tracing for Predicting Collective Performance on Exercise Sequence,0,,0,,EC6,
10.48550/arXiv.2403.13179,2024,"PREDICTIVE, SCALABLE AND INTERPRETABLE KNOWLEDGE TRACING ON STRUCTURED DOMAINS",0,,0,,EC5,
10.1145/3691720.3691762,2024,A Knowledge Tracking Model Based on Students’ Learning Abilities,0,,0,,EC5,
10.1145/3637528.3671711,2024,RIGL: A Unified Reciprocal Approach for Tracing the Independent and Group Learning Processes,0,,1,,,
10.4018/IJKM.358011,2024,DHKFN: Knowledge Tracking Model Based on Deep Hierarchical Knowledge Fusion Networks,0,,0,,EC6,
10.1371/journal.pone.0311194,2024,Short-term power load forecasting in China: A Bi-SATCN neural network model based on VMD-SE,0,,0,,Should not have made it into the 2nd screening,
10.1109/CSTE62025.2024.00046,2024,A Deep Knowledge Tracing Model Based on Double Attention Coding of Exercises and Concepts,0,,0,,EC5,
10.1109/ICDE60146.2024.00090,2024,Interpretable Knowledge Tracing via Response Influence-based Counterfactual Reasoning,0,,0,,EC6,
10.1145/3637528.3671773,2024,DyGKT: Dynamic Graph Learning for Knowledge Tracing,0,,0,,EC6,
10.1145/3589334.3645582,2024,Question Difficulty Consistent Knowledge Tracing,0,,0,,EC6,
10.48550/arXiv.2405.05134,2024,Board 262: Enhancing Deep Knowledge Tracing via Diffusion Models for Personalized Adaptive Learning,0,,0,,EC5,
10.1109/BigData59044.2023.10386686,2023,An Interactive Framework of Balancing evaluation Cost and Prediction Accuracy for Knowledge Tracing,0,,0,,EC6,
10.1007/978-981-99-6553-3_6,2023,A CNN-Based Self-attentive Approach to Knowledge Tracing,0,,0,,EC6,
10.1007/978-3-031-30105-6_19,2023,Heterogeneous Graph Representation for Knowledge Tracing,0,,0,,EC6,
10.1007/978-3-031-46664-9_26,2023,Deep Knowledge Tracing with Concept Trees,0,,0,,EC6,
10.1007/978-981-99-7869-4_7,2023,FDDKT:A Novel Knowledge Tracing Method by Fusing Difficulty and Discrimination for Intelligent Education,0,,0,,EC6,
10.1007/978-3-031-29800-4_59,2023,Q&A Generation for Flashcards Within a Transformer-Based Framework,0,,0,,Should not have made it into the 2nd screening,
10.5281/zenodo.7808087,2023,KT-Bi-GRU: Student Performance Prediction with a Bi-Directional Recurrent Knowledge Tracing Neural Network,0,,0,,EC6,
10.1109/CyberC58899.2023.00029,2023,Time-Aware Attentional Knowledge Tracing based on Pre-training and Feature Extraction,0,,0,,EC6,
10.1117/12.2685085,2023,Deep knowledge Tracing Model Integrated with Attention Mechanism,0,,0,,EC5,
10.1109/ICCECT57938.2023.10140232,2023,A Temporal Convolutional Knowledge Tracing Model Integrating Forgetting Factors and Item Response Theory,0,,0,,EC5,
10.1007/978-981-99-2443-1_1,2023,SATCN: An Improved Temporal Convolutional Neural Network with Self Attention Mechanism for Knowledge Tracing,0,,0,,EC6,
10.1007/978-3-031-40289-0_27,2023,TGKT-Based Personalized Learning Path Recommendation with Reinforcement Learning,0,,1,,,
10.3390/app14083425,2023,Multiple Attention Modules-based Knowledge Tracing,0,,0,,EC6,
10.1109/EEBDA56825.2023.10090542,2023,Temporal Convolutional Knowledge Tracking Model with Embedded Graph Association Information,0,,0,,EC5,
10.1109/IPEC57296.2023.00081,2023,Deep Knowledge Tracing with Multiple Features,0,Can't access full paper,0,,EC5,
10.1109/SWC57546.2023.10449114,2023,A Learner Knowledge State Modeling Method Based on the Improved DKVMN,0,,0,,EC6,
10.1109/ITME60234.2023.00134,2023,Context Matters: Advancing Knowledge Tracing in Online Learning with Enhanced Attention Mechanisms,0,,0,,EC5,
10.1007/978-981-99-2443-1_25,2023,Towards Intelligent Serious Games: Deep Knowledge Tracing with Hybrid Prediction Models,0,,0,,EC6,
10.1109/CSECS60003.2023.10428652,2023,Application of Sparse Attention Mechanism and Bidirectional GRU Neural Networks in Knowledge Tracing,0,,0,,EC5,
10.48550/arXiv.2302.06881,2023,SIMPLEKT: A SIMPLE BUT TOUGH-TO-BEAT BASELINE FOR KNOWLEDGE TRACING,0,Not peer-reviewed,0,,EC5,
10.1109/ICCE-Taiwan58799.2023.10226668,2023,Imbalanced Data for Knowledge Tracing,0,,0,,EC5,
10.1609/aaai.v37i13.26891,2023,Learning Logical Reasoning Using an Intelligent Tutoring System: A Hybrid Approach to Student Modeling,0,,0,,EC6,
10.1117/12.3011559,2023,A Deep Knowledge Tracing Model Based on Multi-Head Self-Attention Mechanism,0,,0,,EC5,
10.1145/3543507.3583255,2023,Tracing Knowledge Instead of Patterns: Stable Knowledge Tracing with Diagnostic Transformer,0,,1,,,
10.1007/978-981-99-8979-9_1,2023,Long-Term and Short-Term Perception in Knowledge Tracing,0,,0,,EC6,
10.1109/ISCEIC59030.2023.10271117,2023,A Convolutional Knowledge Tracing Method based on Graph Embedding,0,,0,,EC5,
10.1109/BIBM58861.2023.10386061,2023,Learning path design on knowledge graph by using reinforcement learning,0,,0,,EC5,
10.1109/ICCASIT58768.2023.10351639,2023,Interpretable Deep Knowledge Tracing with Graph Relationship Information,0,,0,,EC5,
10.1109/WAIE57417.2022.00027,2022,Multi-Scaled Attentive Knowledge Tracing,0,,0,,EC5,
10.1109/MLCCIM55934.2022.00044,2022,A knowledge tracing model based on attention mechanism,0,,0,,EC5,
10.3233/FAIA220283,2022,Learning Exercises Recommendation for Online Judge System Based on Deep Knowledge Tracing,0,,0,,EC6,
10.1109/ICEICT55736.2022.9908959,2022,Bayesian Knowledge Tracing based on Transformer,0,,0,,Should not have made it into the 2nd screening,
10.1109/BigData55660.2022.10020547,2022,Knowledge Tracing Based on Gated Heterogeneous Graph Convolutional Networks,0,,0,,EC5,
10.5281/zenodo.6853107,2022,DeepIRT with a Hypernetwork to Optimize the Degree of Forgetting of Past Data,0,,0,,EC5,
10.1145/3569966.3569987,2022,MAKT: A Knowledge Tracing Model Based on Meta Path and Attention Mechanism,0,,0,,EC5,
10.11916/j.issn.1005-9113.2020081,2022,Research on Deep Knowledge Tracking Incorporating Rich Features and Forgetting Behaviors,0,,0,,EC5,
10.18293/SEKE2022-142,2022,Using Multi-feature Embedding towards Accurate Knowledge Tracing,0,,0,,EC5,
10.1145/3565387.3565420,2022,MPSKT: Multi-head ProbSparse Self-Attention for Knowledge Tracing,0,,0,,EC5,
10.5281/zenodo.6853105,2022,Code-DKT: A Code-based Knowledge Tracing Model for Programming Tasks,0,,0,,EC6,
10.1145/3579654.3579772,2022,Deep Knowledge Tracing Integrating Multiple Learning Behaviors,0,,0,,EC5,
10.3991/ijet.v17i16.33179,2022,Higher Education-Oriented Recommendation Algorithm for Personalized Learning Resource,0,,0,,EC6,
10.1109/SmartWorld-UIC-ATC-ScalCom-DigitalTwin-PriComp-Metaverse56740.2022.00182,2022,Difficulty-aware Convolutional Knowledge Tracing for Student Performance Prediction,0,,0,,EC5,
10.19884/j.1672-5220.202009062,2020,Deep Knowledge Tracing Embedding Neural Network for Individualized Learning,0,Can't access full paper,0,,EC5,
10.48550/arXiv.1910.12597,2020,Extending deep knowledge tracing: Inferring interpretable knowledge and predicting post-system performance,0,,1,,,
10.48550/arXiv.2106.00524,2021,Student Performance Prediction Using Dynamic Neural Models,0,not peer-reviewed,0,,EC5,
10.48550/arXiv.2005.12442,2020,qDKT: Question-Centric Deep Knowledge Tracing,0,not peer-reviewed,0,,EC5,
10.19884/j.1672-5220.202011091,2021,Prediction of Online Judge Practice Passing Rate Based on Knowledge Tracing,0,Can't access full paper,0,,EC5,
10.1007/978-981-16-2540-4_13,2021,Dynamic Key-Value Gated Recurrent Network for Knowledge Tracing,0,,0,,EC6,
10.1007/978-3-030-68799-1_25,2021,Input-Aware Neural Knowledge Tracing Machine,0,,1,,,
10.48550/arXiv.2005.09109,2020,DYNAMIC KNOWLEDGE EMBEDDING AND TRACING,0,not peer-reviewed,0,,EC5,
10.48550/arXiv.2105.06266,2021,LANA: Towards Personalized Deep Knowledge Tracing Through Distinguishable Interactive Sequences,0,not peer-reviewed,0,,EC5,
10.48550/arXiv.1904.11738,2019,Deep-IRT: Make deep learning based knowledge tracing explainable using item response theory,0,not peer-reviewed,0,,EC5,
10.1145/3674840,2024,A Question-centric Multi-experts Contrastive Learning Framework for Improving the Accuracy and Interpretability of Deep Sequential Knowledge Tracing Models,0,,1,,,
10.1109/TALE54877.2022.00057,2022,Attention-LGBM-BiLSTM: An Attention-Based Ensemble Method for Knowledge Tracing,0,,0,,EC5,
10.1109/IJCNN54540.2023.10191002,2023,Improving Knowledge Tracing with Diverse Question Factors,0,,0,,EC5,
10.1109/NGDN61651.2024.10744055,2024,Multi-test knowledge tracing prediction model based on learning cycle,0,EC5 (no full text available),0,,,
10.1109/IJCNN60899.2024.10649935,2024,MGKT: A Multi-Relation Enhanced Graph-Based Model for Knowledge Tracing,0,,0,,EC6,
10.1109/ICASSP48485.2024.10447277,2024,GuessKT: Improving Knowledge Tracing via Considering Guess Behaviors,0,,0,,EC5,
10.1109/ITME60234.2023.00135,2023,Interpreting Learner Success: Enhancing Knowledge Tracing with Attention-Based IRT Models in Modern Education,0,,0,,EC5,
10.1109/IJCNN55064.2022.9891896,2022,Long- and Short-term Attention Network for Knowledge Tracing,0,,0,,EC6,
10.1109/ICDM58522.2023.00088,2023,Cognition-Mode Aware Variational Representation Learning Framework for Knowledge Tracing,0,,0,,EC6,
10.1109/IATMSI60426.2024.10502970,2024,Enhanced Transformer: Knowledge Tracing with Incorporation of Temporal Features,0,,0,,EC5,
10.1109/TALE54877.2022.00055,2022,MAKT: Multichannel Attention Networks based Knowledge Tracing with Representation Learning,0,,0,,EC6,
10.1109/TCSS.2023.3306909,2024,Knowledge-Associated Embedding for Memory-Aware Knowledge Tracing,0,,1,0,EC6,
10.1109/ICNSC62968.2024.10760077,2024,DF-EGM: Personalised Knowledge Tracing with Dynamic Forgetting and Enhanced Gain Mechanisms,0,,1,1,,
10.1109/CCAI61966.2024.10603014,2024,AFGAKT: Forgetting Law Guided Knowledge Tracking Model by Adversarial Training,0,EC5 (no full text available),0,0,EC5,
10.48550/arXiv.2008.01169,2020,Deep knowledge tracing with convolutions,0,EC5 (only preprint),0,0,EC5,
10.48550/arXiv.1805.10768,2018,Deep trustworthy knowledge tracing,0,EC5 (only preprint),0,0,EC5,
10.48550/arXiv.1811.03388,2019,Knowledge tracing machines: Factorization machines for knowledge tracing,0,,1,1,,
,2023,A SHAP-Inspired Method for Computing Interaction Contribution in Deep Knowledge Tracings,,,0,,,
